font,codepoint,origin,codepoint_split,date
Assurbanipal,0x1216c,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x1221f,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x1220f,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x1226e,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12275,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x122bc,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x1221e,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x1226f,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12013,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x120ca,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x121dc,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12230,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12236,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12272,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x1235b,accepted_as_generated,train (new codepoint),2026-09-19
Esagil,0x1214d,corrected_by_hand,train,2026-09-19
Esagil,0x12274,corrected_by_hand,train (new codepoint),2026-09-19
Assurbanipal,0x12062,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x1206b,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x120c2,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12133,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x121ba,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x121f0,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12211,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12273,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12279,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x122ea,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x1231f,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12373,accepted_as_generated,train (new codepoint),2026-09-19
Esagil,0x120de,corrected_by_hand,train (new codepoint),2026-09-19
Esagil,0x12104,corrected_by_hand,train,2026-09-19
Esagil,0x121f8,corrected_by_hand,train (new codepoint),2026-09-19
Esagil,0x1226e,corrected_by_hand,train (new codepoint),2026-09-19
Assurbanipal,0x12046,accepted_as_generated,train,2026-09-19
Assurbanipal,0x1204c,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12059,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x1205a,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12095,accepted_as_generated,val,2026-09-19
Assurbanipal,0x120b1,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x120c3,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x120d0,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x120d7,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12126,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12172,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x1219d,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x121e0,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12219,accepted_as_generated,train (new codepoint),2026-09-19
Assurbanipal,0x12241,accepted_as_generated,train (new codepoint),2026-09-19
Esagil,0x12029,corrected_by_hand,train,2026-09-19
Esagil,0x12054,corrected_by_hand,train (new codepoint),2026-09-19
Esagil,0x120ab,corrected_by_hand,train (new codepoint),2026-09-19
Esagil,0x122d2,accepted_as_generated,train,2026-09-19
Esagil,0x1205e,corrected_by_hand,train (new codepoint),2026-09-19
Esagil,0x12066,corrected_by_hand,train (new codepoint),2026-09-19
Esagil,0x1206f,corrected_by_hand,val,2026-09-19
Esagil,0x120b5,accepted_as_generated,val,2026-09-19
Esagil,0x12126,corrected_by_hand,train (new codepoint),2026-09-19
Esagil,0x12127,accepted_as_generated,train (new codepoint),2026-09-19
Esagil,0x1212f,corrected_by_hand,train,2026-09-19
Esagil,0x121a7,corrected_by_hand,train,2026-09-19
Esagil,0x12246,accepted_as_generated,train,2026-09-19
Esagil,0x12250,corrected_by_hand,train,2026-09-19
Esagil,0x122c7,accepted_as_generated,train (new codepoint),2026-09-19
Esagil,0x122eb,accepted_as_generated,train,2026-09-19
Esagil,0x1231d,accepted_as_generated,train,2026-09-19
Esagil,0x1205b,corrected_by_hand,train (new codepoint),2026-09-19
Esagil,0x12070,corrected_by_hand,train,2026-09-19
Esagil,0x1207e,corrected_by_hand,train,2026-09-19
Esagil,0x1210a,corrected_by_hand,train,2026-09-19
Esagil,0x12112,corrected_by_hand,train,2026-09-19
Esagil,0x1212b,accepted_as_generated,train,2026-09-19
Esagil,0x12138,accepted_as_generated,train,2026-09-19
Esagil,0x1213d,corrected_by_hand,train,2026-09-19
Esagil,0x12145,accepted_as_generated,train,2026-09-19
Esagil,0x1214e,accepted_as_generated,train,2026-09-19
Esagil,0x1218d,accepted_as_generated,train,2026-09-19
Esagil,0x1218f,accepted_as_generated,train (new codepoint),2026-09-19
Esagil,0x12198,corrected_by_hand,train (new codepoint),2026-09-19
Esagil,0x121c0,accepted_as_generated,train,2026-09-19
Esagil,0x12244,accepted_as_generated,train,2026-09-19
