label,x,y
Stroke 1,34,234
Stroke 1,15,405
Stroke 1,103,334
Stroke 1,397,341
Stroke 2,41,7
Stroke 2,21,162
Stroke 2,108,92
Stroke 2,391,98
Stroke 3,104,168
Stroke 3,194,187
Stroke 3,152,221
Stroke 3,151,401
Stroke 4,194,187
Stroke 4,258,189
Stroke 4,223,225
Stroke 4,221,401
Stroke 5,353,180
Stroke 5,258,189
Stroke 5,285,226
Stroke 5,283,406
Stroke 6,347,125
Stroke 6,502,135
Stroke 6,414,186
Stroke 6,411,394
Stroke 7,347,17
Stroke 7,502,27
Stroke 7,416,70
Stroke 7,410,132
Stroke 8,559,112
Stroke 8,438,239
Stroke 8,526,230
Stroke 8,589,284
Stroke 9,637,131
Stroke 9,628,245
Stroke 9,680,195
Stroke 9,736,201
Stroke 10,654,0
Stroke 10,595,105
Stroke 10,681,66
Stroke 10,1165,214
Stroke 11,628,245
Stroke 11,623,412
Stroke 11,682,329
Stroke 11,1179,214
Stroke 12,736,136
Stroke 12,725,244
Stroke 12,776,200
Stroke 12,966,202
Stroke 13,819,220
Stroke 13,761,277
Stroke 13,803,274
Stroke 13,830,296
Stroke 14,833,125
Stroke 14,786,221
Stroke 14,842,195
Stroke 14,966,202
Stroke 15,1291,85
Stroke 15,1185,206
Stroke 15,1259,201
Stroke 15,1313,253
