label,i,j
Stroke 1,2,0
Stroke 1,2,1
Stroke 1,2,3
Stroke 1,0,1
Stroke 2,2,0
Stroke 2,2,1
Stroke 2,2,3
Stroke 2,0,1
Stroke 3,2,0
Stroke 3,2,1
Stroke 3,2,3
Stroke 3,0,1
Stroke 4,2,0
Stroke 4,2,1
Stroke 4,2,3
Stroke 4,0,1
Stroke 5,2,0
Stroke 5,2,1
Stroke 5,2,3
Stroke 5,0,1
Stroke 6,2,0
Stroke 6,2,1
Stroke 6,2,3
Stroke 6,0,1
Stroke 7,2,0
Stroke 7,2,1
Stroke 7,2,3
Stroke 7,0,1
Stroke 8,2,0
Stroke 8,2,1
Stroke 8,2,3
Stroke 8,0,1
Stroke 9,2,0
Stroke 9,2,1
Stroke 9,2,3
Stroke 9,0,1
Stroke 10,2,0
Stroke 10,2,1
Stroke 10,2,3
Stroke 10,0,1
Stroke 11,2,0
Stroke 11,2,1
Stroke 11,2,3
Stroke 11,0,1
Stroke 12,2,0
Stroke 12,2,1
Stroke 12,2,3
Stroke 12,0,1
Stroke 13,2,0
Stroke 13,2,1
Stroke 13,2,3
Stroke 13,0,1
Stroke 14,2,0
Stroke 14,2,1
Stroke 14,2,3
Stroke 14,0,1
Stroke 15,2,0
Stroke 15,2,1
Stroke 15,2,3
Stroke 15,0,1
Stroke 16,2,0
Stroke 16,2,1
Stroke 16,2,3
Stroke 16,0,1
Stroke 17,2,0
Stroke 17,2,1
Stroke 17,2,3
Stroke 17,0,1
Stroke 18,2,0
Stroke 18,2,1
Stroke 18,2,3
Stroke 18,0,1
Stroke 19,2,0
Stroke 19,2,1
Stroke 19,2,3
Stroke 19,0,1
Stroke 20,2,0
Stroke 20,2,1
Stroke 20,2,3
Stroke 20,0,1
Stroke 21,2,0
Stroke 21,2,1
Stroke 21,2,3
Stroke 21,0,1
Stroke 22,2,0
Stroke 22,2,1
Stroke 22,2,3
Stroke 22,0,1
Stroke 23,2,0
Stroke 23,2,1
Stroke 23,2,3
Stroke 23,0,1
Stroke 24,2,0
Stroke 24,2,1
Stroke 24,2,3
Stroke 24,0,1
