label,x,y
Stroke 1,30,240
Stroke 1,15,393
Stroke 1,89,331
Stroke 1,336,334
Stroke 2,53,7
Stroke 2,34,151
Stroke 2,111,86
Stroke 2,361,93
Stroke 3,116,220
Stroke 3,92,297
Stroke 3,146,248
Stroke 3,223,246
Stroke 4,106,124
Stroke 4,116,220
Stroke 4,152,200
Stroke 4,228,201
Stroke 5,323,125
Stroke 5,228,233
Stroke 5,298,227
Stroke 5,348,265
Stroke 6,321,28
Stroke 6,463,41
Stroke 6,380,96
Stroke 6,375,309
Stroke 7,338,244
Stroke 7,323,405
Stroke 7,399,343
Stroke 7,660,349
Stroke 8,437,233
Stroke 8,418,317
Stroke 8,475,272
Stroke 8,649,272
Stroke 9,438,176
Stroke 9,437,233
Stroke 9,476,205
Stroke 9,649,208
Stroke 10,431,86
Stroke 10,438,176
Stroke 10,478,150
Stroke 10,649,156
Stroke 11,603,27
Stroke 11,755,36
Stroke 11,668,97
Stroke 11,660,349
Stroke 12,744,117
Stroke 12,730,259
Stroke 12,802,200
Stroke 12,1024,213
Stroke 13,1011,73
Stroke 13,909,181
Stroke 13,979,176
Stroke 13,1024,213
Stroke 14,1106,55
Stroke 14,1006,163
Stroke 14,1072,159
Stroke 14,1108,187
Stroke 15,1158,138
Stroke 15,1057,246
Stroke 15,1130,242
Stroke 15,1173,279
