label,x,y
Stroke 1,29,80
Stroke 1,42,201
Stroke 1,87,168
Stroke 1,336,169
Stroke 2,42,201
Stroke 2,15,317
Stroke 2,91,257
Stroke 2,336,257
Stroke 3,296,272
Stroke 3,273,413
Stroke 3,349,352
Stroke 3,856,358
Stroke 4,303,9
Stroke 4,291,155
Stroke 4,365,98
Stroke 4,848,105
Stroke 5,347,124
Stroke 5,458,125
Stroke 5,382,169
Stroke 5,381,343
Stroke 6,498,115
Stroke 6,463,207
Stroke 6,541,162
Stroke 6,691,175
Stroke 7,521,239
Stroke 7,520,284
Stroke 7,549,257
Stroke 7,662,274
Stroke 8,520,181
Stroke 8,521,239
Stroke 8,550,218
Stroke 8,694,220
Stroke 9,520,284
Stroke 9,507,347
Stroke 9,550,308
Stroke 9,699,313
Stroke 10,658,232
Stroke 10,608,262
Stroke 10,643,269
Stroke 10,659,297
Stroke 11,662,123
Stroke 11,764,131
Stroke 11,707,172
Stroke 11,706,347
Stroke 12,731,166
Stroke 12,719,279
Stroke 12,774,241
Stroke 12,849,245
Stroke 13,804,36
Stroke 13,956,47
Stroke 13,872,108
Stroke 13,866,355
Stroke 14,904,208
Stroke 14,880,323
Stroke 14,945,273
Stroke 14,1187,272
Stroke 15,892,104
Stroke 15,904,208
Stroke 15,949,184
Stroke 15,1187,182
Stroke 16,1141,39
Stroke 16,1289,48
Stroke 16,1201,111
Stroke 16,1200,362
