label,x,y
Stroke 1,126,123
Stroke 1,15,215
Stroke 1,100,216
Stroke 1,157,266
Stroke 2,156,93
Stroke 2,104,150
Stroke 2,156,163
Stroke 2,214,219
Stroke 3,239,20
Stroke 3,156,93
Stroke 3,208,110
Stroke 3,265,169
Stroke 4,290,233
Stroke 4,253,374
Stroke 4,342,300
Stroke 4,507,304
Stroke 5,277,9
Stroke 5,296,144
Stroke 5,347,115
Stroke 5,634,111
Stroke 6,296,144
Stroke 6,290,233
Stroke 6,351,201
Stroke 6,634,202
Stroke 7,621,222
Stroke 7,524,308
Stroke 7,573,317
Stroke 7,617,367
Stroke 8,575,0
Stroke 8,750,7
Stroke 8,653,60
Stroke 8,648,374
