label,x,y
Stroke 1,99,271
Stroke 1,14,373
Stroke 1,83,343
Stroke 1,124,405
Stroke 2,40,93
Stroke 2,144,117
Stroke 2,96,155
Stroke 2,97,277
Stroke 3,125,79
Stroke 3,253,100
Stroke 3,177,149
Stroke 3,172,225
Stroke 4,202,203
Stroke 4,112,303
Stroke 4,178,295
Stroke 4,217,331
Stroke 5,201,4
Stroke 5,125,79
Stroke 5,189,73
Stroke 5,222,100
Stroke 6,209,144
Stroke 6,292,164
Stroke 6,259,197
Stroke 6,259,388
Stroke 7,382,155
Stroke 7,292,164
Stroke 7,326,193
Stroke 7,324,386
Stroke 8,290,201
Stroke 8,370,207
Stroke 8,327,239
Stroke 8,324,386
Stroke 9,361,91
Stroke 9,497,100
Stroke 9,417,157
Stroke 9,415,392
