x,y,label
36.92604090060476,125.9756634456418,Stroke 1
34.14308798228331,153.869770605769,Stroke 1
48.9749755859375,143.10986328125,Stroke 1
108.11934730944817,143.08096673432144,Stroke 1
38.93473628805025,99.84682242822957,Stroke 2
36.92604090060476,125.9756634456418,Stroke 2
49.179443359375,115.2412109375,Stroke 2
67.84903090398826,116.13888405205765,Stroke 2
69.04724258065559,90.91450789604035,Stroke 3
70.82096034714552,107.95470892218549,Stroke 3
76.46240234375,102.7908935546875,Stroke 3
110.79525346191785,102.71851942772179,Stroke 3
70.82096034714552,107.95470892218549,Stroke 4
70.2125100244861,118.96059203675891,Stroke 4
77.147705078125,113.041015625,Stroke 4
111.00058471160963,113.12872411485716,Stroke 4
70.2125100244861,118.96059203675891,Stroke 5
65.9571305957455,134.05306425296737,Stroke 5
77.673828125,125.99267578125,Stroke 5
111.38872765397481,125.83132672247459,Stroke 5
103.0933004222759,89.18052524374995,Stroke 6
128.63888220627408,91.7945420724726,Stroke 6
114.31884765625,101.032958984375,Stroke 6
111.38872765397481,125.83132672247459,Stroke 6
109.21125368048286,129.8812197511314,Stroke 7
106.690470877795,155.13581443787717,Stroke 7
118.910400390625,144.287109375,Stroke 7
202.24296528288,102.18922995408943,Stroke 7
129.25212948907156,85.07398707801872,Stroke 8
126.93518930192414,110.03280516658778,Stroke 8
140.10955810546875,100.22021484375,Stroke 8
202.24296528288,102.18922995408943,Stroke 8
136.7229004016406,105.19032208042357,Stroke 9
134.1903272241765,118.1399265206268,Stroke 9
142.5517578125,112.44189453125,Stroke 9
156.73696546958607,112.01745651731714,Stroke 9
145.8333021667772,132.8229087118926,Stroke 10
142.75756556706833,143.696151954976,Stroke 10
150.700927734375,137.48828125,Stroke 10
168.23504588315942,138.03941871746287,Stroke 10
145.8970506968451,124.94931622296919,Stroke 11
145.8333021667772,132.8229087118926,Stroke 11
150.8175048828125,128.8480224609375,Stroke 11
175.921186989368,129.04933028610964,Stroke 11
144.86214026888354,113.05761989402973,Stroke 12
145.8970506968451,124.94931622296919,Stroke 12
151.449951171875,121.02978515625,Stroke 12
175.89575602020668,121.12431323742472,Stroke 12
171.21945287275054,106.9771823921026,Stroke 13
157.81229635574854,112.14423416990222,Stroke 13
163.444580078125,114.56591796875,Stroke 13
166.3027242841642,119.18282129531819,Stroke 13
168.5716941073066,131.1274285877171,Stroke 14
167.75339667767562,143.9029503483736,Stroke 14
175.420654296875,139.3359375,Stroke 14
184.09375,139.599609375,Stroke 14
171.21945287275054,106.9771823921026,Stroke 15
187.06416556242934,108.07049265093865,Stroke 15
177.9285888671875,114.42578125,Stroke 15
178.22548706254938,139.18759910296393,Stroke 15
194.93128064606412,88.11538611434776,Stroke 16
221.04180620604646,90.135763403701,Stroke 16
206.356201171875,101.51318359375,Stroke 16
204.9731655692333,144.902234746554,Stroke 16
