i,j,label
0,1,Stroke 1
0,2,Stroke 1
1,2,Stroke 1
2,3,Stroke 1
0,1,Stroke 2
0,2,Stroke 2
1,2,Stroke 2
2,3,Stroke 2
0,1,Stroke 3
0,2,Stroke 3
1,2,Stroke 3
2,3,Stroke 3
0,1,Stroke 4
0,2,Stroke 4
1,2,Stroke 4
2,3,Stroke 4
0,1,Stroke 5
0,2,Stroke 5
1,2,Stroke 5
2,3,Stroke 5
0,1,Stroke 6
0,2,Stroke 6
1,2,Stroke 6
2,3,Stroke 6
0,1,Stroke 7
0,2,Stroke 7
1,2,Stroke 7
2,3,Stroke 7
0,1,Stroke 8
0,2,Stroke 8
1,2,Stroke 8
2,3,Stroke 8
0,1,Stroke 9
0,2,Stroke 9
1,2,Stroke 9
2,3,Stroke 9
0,1,Stroke 10
0,2,Stroke 10
1,2,Stroke 10
2,3,Stroke 10
0,1,Stroke 11
0,2,Stroke 11
1,2,Stroke 11
2,3,Stroke 11
0,1,Stroke 12
0,2,Stroke 12
1,2,Stroke 12
2,3,Stroke 12
0,1,Stroke 13
0,2,Stroke 13
1,2,Stroke 13
2,3,Stroke 13
0,1,Stroke 14
0,2,Stroke 14
1,2,Stroke 14
2,3,Stroke 14
0,1,Stroke 15
0,2,Stroke 15
1,2,Stroke 15
2,3,Stroke 15
0,1,Stroke 16
0,2,Stroke 16
1,2,Stroke 16
2,3,Stroke 16
0,1,Stroke 17
0,2,Stroke 17
1,2,Stroke 17
2,3,Stroke 17
0,1,Stroke 18
0,2,Stroke 18
1,2,Stroke 18
2,3,Stroke 18
0,1,Stroke 19
0,2,Stroke 19
1,2,Stroke 19
2,3,Stroke 19
0,1,Stroke 20
0,2,Stroke 20
1,2,Stroke 20
2,3,Stroke 20
0,1,Stroke 21
0,2,Stroke 21
1,2,Stroke 21
2,3,Stroke 21
0,1,Stroke 22
0,2,Stroke 22
1,2,Stroke 22
2,3,Stroke 22
0,1,Stroke 23
0,2,Stroke 23
1,2,Stroke 23
2,3,Stroke 23
0,1,Stroke 24
0,2,Stroke 24
1,2,Stroke 24
2,3,Stroke 24
0,1,Stroke 25
0,2,Stroke 25
1,2,Stroke 25
2,3,Stroke 25
0,1,Stroke 26
0,2,Stroke 26
1,2,Stroke 26
2,3,Stroke 26
0,1,Stroke 27
0,2,Stroke 27
1,2,Stroke 27
2,3,Stroke 27
0,1,Stroke 28
0,2,Stroke 28
1,2,Stroke 28
2,3,Stroke 28
