label,x,y
Stroke 1,48,213
Stroke 1,55,298
Stroke 1,83,263
Stroke 1,176,254
Stroke 2,34,72
Stroke 2,57,182
Stroke 2,91,157
Stroke 2,292,156
Stroke 3,304,253
Stroke 3,288,425
Stroke 3,376,357
Stroke 3,704,381
Stroke 4,327,8
Stroke 4,311,150
Stroke 4,392,93
Stroke 4,684,99
Stroke 5,352,220
Stroke 5,453,236
Stroke 5,396,268
Stroke 5,392,322
Stroke 6,360,124
Stroke 6,469,133
Stroke 6,404,166
Stroke 6,404,226
Stroke 7,494,219
Stroke 7,417,297
Stroke 7,476,295
Stroke 7,511,325
Stroke 8,494,219
Stroke 8,614,248
Stroke 8,557,280
Stroke 8,551,336
Stroke 9,520,139
Stroke 9,614,148
Stroke 9,562,183
Stroke 9,562,240
Stroke 10,671,125
Stroke 10,584,219
Stroke 10,651,213
Stroke 10,685,234
Stroke 11,633,8
Stroke 11,805,16
Stroke 11,707,87
Stroke 11,704,381
