label,x,y
Stroke 1,29,78
Stroke 1,46,201
Stroke 1,87,167
Stroke 1,338,168
Stroke 2,46,201
Stroke 2,15,321
Stroke 2,87,255
Stroke 2,336,254
Stroke 3,292,270
Stroke 3,273,412
Stroke 3,351,350
Stroke 3,381,342
Stroke 4,303,7
Stroke 4,290,153
Stroke 4,368,98
Stroke 4,660,103
Stroke 5,457,119
Stroke 5,346,125
Stroke 5,382,167
Stroke 5,381,342
Stroke 6,456,158
Stroke 6,443,292
Stroke 6,509,242
Stroke 6,702,243
Stroke 7,808,35
Stroke 7,955,47
Stroke 7,868,103
Stroke 7,381,342
Stroke 8,891,99
Stroke 8,899,214
Stroke 8,943,180
Stroke 8,1187,183
Stroke 9,899,214
Stroke 9,879,324
Stroke 9,945,274
Stroke 9,1192,272
Stroke 10,1137,36
Stroke 10,1289,47
Stroke 10,1200,108
Stroke 10,1200,366
