label,x,y
Stroke 1,29,235
Stroke 1,15,399
Stroke 1,93,334
Stroke 1,532,341
Stroke 2,48,4
Stroke 2,27,145
Stroke 2,104,75
Stroke 2,523,82
Stroke 3,91,132
Stroke 3,176,148
Stroke 3,134,183
Stroke 3,134,381
Stroke 4,267,137
Stroke 4,176,148
Stroke 4,205,184
Stroke 4,202,378
Stroke 5,310,157
Stroke 5,303,251
Stroke 5,346,217
Stroke 5,391,220
Stroke 6,390,145
Stroke 6,384,252
Stroke 6,429,217
Stroke 6,538,219
Stroke 7,414,106
Stroke 7,506,112
Stroke 7,454,150
Stroke 7,450,316
Stroke 8,483,22
Stroke 8,646,34
Stroke 8,552,100
Stroke 8,550,375
