label,x,y
Stroke 1,29,245
Stroke 1,15,401
Stroke 1,94,339
Stroke 1,591,347
Stroke 2,48,4
Stroke 2,28,142
Stroke 2,107,75
Stroke 2,576,84
Stroke 3,80,167
Stroke 3,162,186
Stroke 3,123,217
Stroke 3,122,392
Stroke 4,251,177
Stroke 4,162,186
Stroke 4,186,215
Stroke 4,186,392
Stroke 5,251,177
Stroke 5,257,286
Stroke 5,300,247
Stroke 5,368,248
Stroke 6,263,126
Stroke 6,269,207
Stroke 6,305,185
Stroke 6,379,182
Stroke 7,346,113
Stroke 7,412,129
Stroke 7,383,156
Stroke 7,368,248
Stroke 8,350,171
Stroke 8,412,187
Stroke 8,384,209
Stroke 8,379,320
Stroke 9,412,187
Stroke 9,456,189
Stroke 9,434,212
Stroke 9,431,322
Stroke 10,412,129
Stroke 10,462,132
Stroke 10,438,153
Stroke 10,431,322
Stroke 11,456,189
Stroke 11,500,192
Stroke 11,479,215
Stroke 11,477,323
Stroke 12,508,131
Stroke 12,462,132
Stroke 12,484,154
Stroke 12,481,177
Stroke 13,584,190
Stroke 13,500,192
Stroke 13,528,214
Stroke 13,525,322
Stroke 14,578,125
Stroke 14,508,131
Stroke 14,534,157
Stroke 14,529,179
Stroke 15,539,29
Stroke 15,698,41
Stroke 15,611,105
Stroke 15,608,380
