label,x,y
Stroke 1,29,189
Stroke 1,15,366
Stroke 1,86,310
Stroke 1,411,369
Stroke 2,41,49
Stroke 2,29,189
Stroke 2,100,135
Stroke 2,328,138
Stroke 3,104,208
Stroke 3,193,234
Stroke 3,156,266
Stroke 3,154,354
Stroke 4,285,221
Stroke 4,193,234
Stroke 4,208,268
Stroke 4,203,350
Stroke 5,443,65
Stroke 5,396,199
Stroke 5,343,138
Stroke 5,166,134
Stroke 6,422,239
Stroke 6,314,311
Stroke 6,370,325
Stroke 6,411,369
Stroke 7,531,241
Stroke 7,410,323
Stroke 7,477,333
Stroke 7,512,375
Stroke 8,546,77
Stroke 8,430,156
Stroke 8,500,169
Stroke 8,529,209
