label,x,y
Stroke 1,35,4
Stroke 1,15,137
Stroke 1,93,76
Stroke 1,336,81
Stroke 2,80,239
Stroke 2,59,322
Stroke 2,117,275
Stroke 2,296,274
Stroke 3,78,104
Stroke 3,85,182
Stroke 3,117,159
Stroke 3,301,162
Stroke 4,85,182
Stroke 4,80,239
Stroke 4,117,211
Stroke 4,298,215
Stroke 5,355,204
Stroke 5,298,253
Stroke 5,355,250
Stroke 5,398,283
Stroke 6,378,1
Stroke 6,289,60
Stroke 6,375,62
Stroke 6,500,169
Stroke 7,412,126
Stroke 7,355,204
Stroke 7,392,210
Stroke 7,436,244
Stroke 8,510,184
Stroke 8,412,284
Stroke 8,485,282
Stroke 8,528,316
Stroke 9,476,81
Stroke 9,642,93
Stroke 9,544,150
Stroke 9,541,375
Stroke 10,525,6
Stroke 10,573,7
Stroke 10,546,31
Stroke 10,545,93
