label,x,y
Stroke 1,33,215
Stroke 1,16,367
Stroke 1,102,302
Stroke 1,348,303
Stroke 2,54,28
Stroke 2,34,176
Stroke 2,105,106
Stroke 2,220,124
Stroke 3,341,47
Stroke 3,234,122
Stroke 3,297,131
Stroke 3,331,182
Stroke 4,362,185
Stroke 4,348,356
Stroke 4,419,294
Stroke 4,675,312
Stroke 5,375,2
Stroke 5,362,184
Stroke 5,430,121
Stroke 5,668,127
Stroke 6,758,240
Stroke 6,682,316
Stroke 6,729,328
Stroke 6,778,374
Stroke 7,789,53
Stroke 7,675,129
Stroke 7,752,127
Stroke 7,787,187
