label,x,y
Stroke 1,34,169
Stroke 1,15,342
Stroke 1,87,282
Stroke 1,337,286
Stroke 2,47,28
Stroke 2,34,169
Stroke 2,100,111
Stroke 2,330,115
Stroke 3,318,105
Stroke 3,233,215
Stroke 3,312,198
Stroke 3,362,229
Stroke 4,341,42
Stroke 4,477,60
Stroke 4,401,111
Stroke 4,400,348
Stroke 5,343,278
Stroke 5,329,424
Stroke 5,404,365
Stroke 5,785,354
Stroke 6,457,240
Stroke 6,451,350
Stroke 6,505,314
Stroke 6,888,318
Stroke 7,479,9
Stroke 7,470,139
Stroke 7,542,91
Stroke 7,880,104
Stroke 8,522,124
Stroke 8,503,231
Stroke 8,578,183
Stroke 8,888,189
Stroke 9,572,209
Stroke 9,655,227
Stroke 9,616,253
Stroke 9,612,355
Stroke 10,655,227
Stroke 10,708,232
Stroke 10,678,253
Stroke 10,675,354
Stroke 11,765,232
Stroke 11,708,232
Stroke 11,731,255
Stroke 11,727,354
Stroke 12,848,215
Stroke 12,765,232
Stroke 12,790,258
Stroke 12,785,354
Stroke 13,842,42
Stroke 13,989,53
Stroke 13,906,113
Stroke 13,901,362
