label,x,y
Stroke 1,27,244
Stroke 1,60,380
Stroke 1,106,302
Stroke 1,322,225
Stroke 2,105,16
Stroke 2,35,135
Stroke 2,117,115
Stroke 2,322,225
Stroke 3,372,203
Stroke 3,269,309
Stroke 3,337,301
Stroke 3,385,341
Stroke 4,377,54
Stroke 4,278,163
Stroke 4,353,160
Stroke 4,392,191
Stroke 5,425,242
Stroke 5,403,366
Stroke 5,473,307
Stroke 5,736,304
Stroke 6,422,22
Stroke 6,462,130
Stroke 6,484,109
Stroke 6,722,117
Stroke 7,463,195
Stroke 7,449,270
Stroke 7,499,240
Stroke 7,684,240
Stroke 8,462,130
Stroke 8,463,195
Stroke 8,502,165
Stroke 8,717,157
Stroke 9,704,240
Stroke 9,652,283
Stroke 9,706,283
Stroke 9,736,304
Stroke 10,731,209
Stroke 10,704,240
Stroke 10,741,246
Stroke 10,770,272
Stroke 11,824,41
Stroke 11,725,155
Stroke 11,794,155
Stroke 11,838,193
Stroke 12,859,189
Stroke 12,749,316
Stroke 12,830,309
Stroke 12,883,349
