label,x,y
Stroke 1,30,254
Stroke 1,16,411
Stroke 1,95,348
Stroke 1,476,341
Stroke 2,54,3
Stroke 2,29,144
Stroke 2,107,73
Stroke 2,596,82
Stroke 3,193,101
Stroke 3,92,105
Stroke 3,125,147
Stroke 3,124,340
Stroke 4,251,272
Stroke 4,234,342
Stroke 4,283,307
Stroke 4,454,308
Stroke 5,252,220
Stroke 5,251,272
Stroke 5,284,249
Stroke 5,448,248
Stroke 6,253,169
Stroke 6,252,220
Stroke 6,285,199
Stroke 6,439,206
Stroke 7,245,91
Stroke 7,253,169
Stroke 7,288,143
Stroke 7,449,146
Stroke 8,547,98
Stroke 8,431,99
Stroke 8,478,138
Stroke 8,475,181
Stroke 9,429,176
Stroke 9,545,187
Stroke 9,480,230
Stroke 9,476,341
Stroke 10,554,9
Stroke 10,706,22
Stroke 10,620,88
Stroke 10,597,361
Stroke 11,679,290
Stroke 11,626,340
Stroke 11,679,349
Stroke 11,728,387
Stroke 12,724,240
Stroke 12,679,290
Stroke 12,728,301
Stroke 12,775,340
Stroke 13,768,194
Stroke 13,724,240
Stroke 13,767,254
Stroke 13,814,296
Stroke 14,840,104
Stroke 14,768,194
Stroke 14,811,207
Stroke 14,860,247
