label,x,y
Stroke 1,28,7
Stroke 1,10,149
Stroke 1,79,85
Stroke 1,479,91
Stroke 2,35,265
Stroke 2,21,405
Stroke 2,87,344
Stroke 2,351,329
Stroke 3,187,112
Stroke 3,66,112
Stroke 3,110,160
Stroke 3,107,331
Stroke 4,163,237
Stroke 4,257,247
Stroke 4,205,281
Stroke 4,199,323
Stroke 5,172,142
Stroke 5,264,148
Stroke 5,213,185
Stroke 5,212,245
Stroke 6,332,202
Stroke 6,252,298
Stroke 6,313,292
Stroke 6,351,329
Stroke 7,363,234
Stroke 7,456,250
Stroke 7,404,286
Stroke 7,400,335
Stroke 8,373,142
Stroke 8,468,149
Stroke 8,413,188
Stroke 8,411,247
Stroke 9,437,7
Stroke 9,596,16
Stroke 9,507,86
Stroke 9,506,375
