label,x,y
Stroke 1,127,171
Stroke 1,11,292
Stroke 1,91,279
Stroke 1,138,324
Stroke 2,150,16
Stroke 2,30,142
Stroke 2,111,132
Stroke 2,158,175
Stroke 3,233,170
Stroke 3,126,291
Stroke 3,196,276
Stroke 3,253,328
Stroke 4,256,32
Stroke 4,150,142
Stroke 4,224,130
Stroke 4,272,176
Stroke 5,279,61
Stroke 5,293,201
Stroke 5,339,155
Stroke 5,586,150
Stroke 6,293,201
Stroke 6,266,317
Stroke 6,342,250
Stroke 6,588,252
Stroke 7,535,20
Stroke 7,693,35
Stroke 7,604,99
Stroke 7,585,252
Stroke 8,733,34
Stroke 8,638,142
Stroke 8,707,137
Stroke 8,751,180
Stroke 9,733,188
Stroke 9,627,302
Stroke 9,708,300
Stroke 9,751,336
Stroke 10,912,34
Stroke 10,733,34
Stroke 10,817,103
Stroke 10,818,376
