label,x,y
Stroke 1,42,182
Stroke 1,14,290
Stroke 1,86,230
Stroke 1,334,232
Stroke 2,28,66
Stroke 2,42,182
Stroke 2,86,147
Stroke 2,340,150
Stroke 3,369,209
Stroke 3,303,261
Stroke 3,365,264
Stroke 3,412,303
Stroke 4,414,168
Stroke 4,369,209
Stroke 4,413,222
Stroke 4,459,263
Stroke 5,478,99
Stroke 5,414,168
Stroke 5,456,183
Stroke 5,502,226
Stroke 6,510,5
Stroke 6,427,87
Stroke 6,498,86
Stroke 6,546,125
Stroke 7,522,240
Stroke 7,458,293
Stroke 7,521,300
Stroke 7,567,335
Stroke 8,566,202
Stroke 8,522,240
Stroke 8,566,256
Stroke 8,611,296
Stroke 9,637,131
Stroke 9,566,202
Stroke 9,607,216
Stroke 9,655,259
Stroke 10,680,14
Stroke 10,585,111
Stroke 10,653,113
Stroke 10,696,144
