label,x,y
Stroke 1,41,221
Stroke 1,15,323
Stroke 1,83,268
Stroke 1,295,270
Stroke 2,28,110
Stroke 2,41,221
Stroke 2,84,192
Stroke 2,290,188
Stroke 3,258,120
Stroke 3,347,138
Stroke 3,306,180
Stroke 3,304,367
Stroke 4,264,15
Stroke 4,347,35
Stroke 4,315,63
Stroke 4,312,125
Stroke 5,347,138
Stroke 5,404,143
Stroke 5,370,183
Stroke 5,368,373
Stroke 6,347,35
Stroke 6,405,35
Stroke 6,375,65
Stroke 6,375,125
Stroke 7,404,143
Stroke 7,461,143
Stroke 7,427,187
Stroke 7,422,376
Stroke 8,405,35
Stroke 8,462,35
Stroke 8,429,69
Stroke 8,430,125
Stroke 9,547,135
Stroke 9,461,143
Stroke 9,484,187
Stroke 9,481,375
Stroke 10,553,27
Stroke 10,462,35
Stroke 10,488,70
Stroke 10,489,129
