label,x,y
Stroke 1,111,238
Stroke 1,20,337
Stroke 1,91,329
Stroke 1,133,368
Stroke 2,123,110
Stroke 2,30,214
Stroke 2,99,207
Stroke 2,145,248
Stroke 3,144,0
Stroke 3,42,85
Stroke 3,114,78
Stroke 3,158,120
Stroke 4,234,242
Stroke 4,145,340
Stroke 4,213,332
Stroke 4,257,373
Stroke 5,246,114
Stroke 5,151,215
Stroke 5,225,211
Stroke 5,273,253
Stroke 6,252,1
Stroke 6,167,90
Stroke 6,236,81
Stroke 6,283,122
Stroke 7,301,200
Stroke 7,283,373
Stroke 7,364,303
Stroke 7,629,309
Stroke 8,311,8
Stroke 8,292,168
Stroke 8,371,99
Stroke 8,623,105
Stroke 9,355,136
Stroke 9,471,142
Stroke 9,402,187
Stroke 9,402,290
Stroke 10,573,4
Stroke 10,737,15
Stroke 10,646,84
Stroke 10,647,386
