label,x,y
Stroke 1,47,4
Stroke 1,22,135
Stroke 1,103,65
Stroke 1,366,65
Stroke 2,49,247
Stroke 2,30,407
Stroke 2,115,341
Stroke 2,375,343
Stroke 3,125,201
Stroke 3,105,301
Stroke 3,167,249
Stroke 3,369,248
Stroke 4,118,92
Stroke 4,125,201
Stroke 4,167,168
Stroke 4,374,164
Stroke 5,539,199
Stroke 5,431,315
Stroke 5,514,312
Stroke 5,556,350
Stroke 6,553,45
Stroke 6,447,161
Stroke 6,524,154
Stroke 6,574,194
Stroke 7,569,14
Stroke 7,734,27
Stroke 7,637,94
Stroke 7,634,368
