label,x,y
Stroke 1,31,221
Stroke 1,16,380
Stroke 1,88,312
Stroke 1,384,329
Stroke 2,73,8
Stroke 2,232,14
Stroke 2,140,78
Stroke 2,137,303
Stroke 3,235,178
Stroke 3,176,278
Stroke 3,242,260
Stroke 3,324,304
Stroke 4,268,10
Stroke 4,426,21
Stroke 4,335,86
Stroke 4,324,304
Stroke 5,440,66
Stroke 5,453,188
Stroke 5,498,154
Stroke 5,728,156
Stroke 6,453,188
Stroke 6,426,297
Stroke 6,501,243
Stroke 6,741,245
Stroke 7,562,169
Stroke 7,663,177
Stroke 7,602,225
Stroke 7,606,367
Stroke 8,699,7
Stroke 8,696,111
Stroke 8,754,57
Stroke 8,839,14
Stroke 9,696,111
Stroke 9,844,118
Stroke 9,758,169
Stroke 9,755,375
