label,x,y
Stroke 1,128,221
Stroke 1,14,334
Stroke 1,95,327
Stroke 1,145,361
Stroke 2,138,84
Stroke 2,34,180
Stroke 2,113,172
Stroke 2,170,212
Stroke 3,194,93
Stroke 3,201,227
Stroke 3,244,187
Stroke 3,330,189
Stroke 4,201,227
Stroke 4,174,355
Stroke 4,247,286
Stroke 4,324,289
Stroke 5,329,92
Stroke 5,342,226
Stroke 5,388,186
Stroke 5,649,183
Stroke 6,342,226
Stroke 6,310,354
Stroke 6,389,282
Stroke 6,643,284
Stroke 7,514,237
Stroke 7,382,325
Stroke 7,456,336
Stroke 7,498,380
Stroke 8,509,68
Stroke 8,382,156
Stroke 8,460,168
Stroke 8,497,202
Stroke 9,628,240
Stroke 9,503,335
Stroke 9,576,343
Stroke 9,618,387
Stroke 10,635,68
Stroke 10,507,161
Stroke 10,581,164
Stroke 10,649,183
