label,x,y
Stroke 1,29,118
Stroke 1,15,290
Stroke 1,100,216
Stroke 1,342,225
Stroke 2,310,54
Stroke 2,195,181
Stroke 2,281,170
Stroke 2,342,225
Stroke 3,292,8
Stroke 3,418,17
Stroke 3,358,67
Stroke 3,357,360
Stroke 4,418,17
Stroke 4,508,24
Stroke 4,451,70
Stroke 4,451,265
Stroke 5,483,235
Stroke 5,373,355
Stroke 5,451,349
Stroke 5,502,395
Stroke 6,630,7
Stroke 6,508,24
Stroke 6,537,72
Stroke 6,533,294
Stroke 7,584,239
Stroke 7,477,360
Stroke 7,553,365
Stroke 7,605,399
