label,x,y
Stroke 1,138,163
Stroke 1,14,289
Stroke 1,96,281
Stroke 1,146,322
Stroke 2,137,3
Stroke 2,15,111
Stroke 2,97,105
Stroke 2,149,145
Stroke 3,235,2
Stroke 3,138,100
Stroke 3,224,96
Stroke 3,271,132
Stroke 4,259,150
Stroke 4,145,273
Stroke 4,229,268
Stroke 4,279,308
Stroke 5,324,7
Stroke 5,297,137
Stroke 5,380,76
Stroke 5,651,79
Stroke 6,318,209
Stroke 6,300,375
Stroke 6,382,312
Stroke 6,657,316
Stroke 7,413,98
Stroke 7,426,195
Stroke 7,463,168
Stroke 7,659,168
Stroke 8,426,195
Stroke 8,401,284
Stroke 8,463,237
Stroke 8,660,239
Stroke 9,607,9
Stroke 9,769,22
Stroke 9,679,89
Stroke 9,676,367
