label,x,y
Stroke 1,151,81
Stroke 1,16,226
Stroke 1,108,218
Stroke 1,171,267
Stroke 2,197,65
Stroke 2,207,188
Stroke 2,243,149
Stroke 2,306,151
Stroke 3,207,188
Stroke 3,187,304
Stroke 3,246,241
Stroke 3,305,242
Stroke 4,310,65
Stroke 4,317,188
Stroke 4,357,151
Stroke 4,547,149
Stroke 5,317,188
Stroke 5,296,303
Stroke 5,361,242
Stroke 5,549,241
Stroke 6,502,92
Stroke 6,662,103
Stroke 6,570,155
Stroke 6,563,367
Stroke 7,529,3
Stroke 7,632,5
Stroke 7,570,37
Stroke 7,563,99
Stroke 8,662,239
Stroke 8,585,298
Stroke 8,655,304
Stroke 8,704,343
Stroke 9,708,189
Stroke 9,662,239
Stroke 9,705,252
Stroke 9,751,299
Stroke 10,784,109
Stroke 10,708,189
Stroke 10,746,208
Stroke 10,797,258
Stroke 11,822,3
Stroke 11,729,92
Stroke 11,804,93
Stroke 11,849,129
