font,codepoint,name,source,n_wedges,confidence,doubtful_wedges,mean_wedge_confidence,rare_orientation_wedges,off_ink_tails,clamped_wedges,scale,in_font_per_metadata
Assurbanipal,0x122df,SIG4 OVER SIG4 SHU2,model,21,0.0,12,0.337,3,2,0,1.0,True
Assurbanipal,0x120ad,EZEN TIMES KASKAL SQUARED,model,16,0.0018,10,0.2534,0,1,0,1.0,True
Assurbanipal,0x12066,DAG KISIM5 TIMES LU PLUS MASH2,model,23,0.0002,9,0.5509,1,5,0,1.0,True
Assurbanipal,0x122ce,SHIM TIMES KUSHU2,model,15,0.0002,7,0.396,2,0,0,1.0,True
Esagil,0x12172,KA TIMES LI,model,17,0.0032,7,0.4437,0,2,0,0.156,True
Assurbanipal,0x12065,DAG KISIM5 TIMES LU,model,17,0.0001,6,0.5882,0,3,0,1.0,True
Assurbanipal,0x12067,DAG KISIM5 TIMES LUM,model,18,0.0015,6,0.5323,1,1,0,1.0,True
Assurbanipal,0x122cd,SHIM TIMES IGI GUNU,model,17,0.0,6,0.5177,2,1,2,1.0,True
Assurbanipal,0x12017,AB2 TIMES BALAG,model,12,0.0003,5,0.5014,0,3,0,1.0,True
Assurbanipal,0x12057,DAG KISIM5 TIMES A PLUS MASH,model,15,0.0002,5,0.6234,0,1,0,1.0,True
Assurbanipal,0x12069,DAG KISIM5 TIMES PAP PLUS PAP,model,15,0.0,5,0.5755,1,2,0,1.0,True
Assurbanipal,0x1215d,KA TIMES BALAG,model,20,0.0,5,0.5999,0,3,0,1.0,True
Assurbanipal,0x121d0,LAGAB TIMES KIN,model,13,0.0,5,0.5317,1,2,0,1.0,True
Assurbanipal,0x121d3,LAGAB TIMES KUL PLUS HI PLUS A,model,15,0.0009,5,0.452,0,2,0,1.0,True
Assurbanipal,0x121eb,LAGAB SQUARED,model,8,0.0001,5,0.305,0,0,0,1.0,True
Assurbanipal,0x12203,LU2 TIMES HI TIMES BAD,model,17,0.0013,5,0.6052,0,1,0,1.0,True
Assurbanipal,0x12251,NIM TIMES GAR PLUS GAN2 TENU,model,16,0.0,5,0.5522,2,4,0,1.0,True
Assurbanipal,0x12267,NUN LAGAR TIMES SAL OVER NUN LAGAR TIMES SAL,model,25,0.0,5,0.6441,0,1,0,1.0,True
Esagil,0x1215c,KA TIMES BAD,model,9,0.0001,5,0.3489,1,0,0,0.156,True
Esagil,0x12258,NINDA2 TIMES NE,model,14,0.0026,5,0.5755,0,1,0,0.15584,True
Assurbanipal,0x12068,DAG KISIM5 TIMES NE,model,20,0.0011,4,0.7075,1,0,0,1.0,True
Assurbanipal,0x120c5,GA2 TIMES DIM TIMES SHE,model,13,0.0,4,0.595,0,1,0,1.0,True
Assurbanipal,0x12117,GU CROSSING GU,model,10,0.0001,4,0.4931,0,0,0,1.0,True
Assurbanipal,0x1219e,KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U,model,18,0.003,4,0.5895,0,0,0,1.0,True
Assurbanipal,0x121cb,LAGAB TIMES IGI GUNU,model,10,0.0007,4,0.5404,0,2,0,1.0,True
Assurbanipal,0x121d7,LAGAB TIMES LUL,model,11,0.0045,4,0.5608,0,2,0,1.0,True
Assurbanipal,0x121e4,LAGAB TIMES TE PLUS A PLUS SU PLUS NA,model,21,0.0043,4,0.6631,0,1,0,1.0,True
Assurbanipal,0x12208,LU2 TIMES KI,model,17,0.0031,4,0.6593,0,1,0,1.0,True
Assurbanipal,0x12213,LU2 OPPOSING LU2,model,15,0.0,4,0.6402,0,0,0,1.0,True
Assurbanipal,0x1223b,MUSH3 TIMES A PLUS DI,model,14,0.0027,4,0.5989,0,2,0,1.0,True
Assurbanipal,0x122c9,SHIM TIMES BULUG,model,15,0.0003,4,0.5037,1,0,2,1.0,True
Assurbanipal,0x122d1,SHIM TIMES SAL,model,13,0.0001,4,0.5076,1,0,0,1.0,True
Assurbanipal,0x122f2,TAB SQUARED,model,5,0.0,4,0.164,0,1,0,1.0,True
Assurbanipal,0x12304,TIR OVER TIR GAD OVER GAD GAR OVER GAR,model,40,0.0028,4,0.7574,1,0,0,1.0,True
Assurbanipal,0x12314,UD KUSHU2,model,9,0.0,4,0.5015,2,1,0,1.0,True
Assurbanipal,0x12353,USH TIMES KU,model,12,0.0,4,0.6224,1,1,0,1.0,True
Assurbanipal,0x1235f,ZA SQUARED TIMES KUR,model,11,0.0001,4,0.447,0,0,0,1.0,True
Assurbanipal,0x12387,KA TIMES UR2,model,14,0.0001,4,0.5995,0,3,0,1.0,True
Assurbanipal,0x1238d,,model,10,0.0,4,0.5169,0,1,0,1.0,True
Esagil,0x12340,URU TIMES GU,model,11,0.0,4,0.5534,0,1,1,0.15661,True
Assurbanipal,0x12006,A TIMES LAGAR GUNU,model,10,0.004,3,0.6074,0,0,0,1.0,True
Assurbanipal,0x1200c,AB TIMES DUN3 GUNU,model,14,0.0001,3,0.6983,0,0,0,1.0,True
Assurbanipal,0x12010,AB TIMES IGI GUNU,model,15,0.0,3,0.6795,0,0,0,1.0,True
Assurbanipal,0x12022,AL TIMES DIM2,model,13,0.0002,3,0.6629,0,1,0,1.0,True
Assurbanipal,0x12027,AL TIMES SHE,model,10,0.0,3,0.5928,0,0,0,1.0,True
Assurbanipal,0x12035,ARAD TIMES KUR,model,8,0.0,3,0.5286,0,0,0,1.0,True
Assurbanipal,0x1205d,DAG KISIM5 TIMES GI,model,18,0.0001,3,0.7034,1,0,0,1.0,True
Assurbanipal,0x12071,DARA4,model,13,0.0025,3,0.671,0,1,0,1.0,True
Assurbanipal,0x12080,DUB2,model,14,0.0002,3,0.6039,2,1,0,1.0,True
Assurbanipal,0x120b6,GA GUNU,model,12,0.004,3,0.5123,0,2,0,1.0,True
Assurbanipal,0x120cb,GA2 TIMES GAN2 TENU,model,11,0.0006,3,0.6347,0,1,0,1.0,True
Assurbanipal,0x120d6,GA2 TIMES IGI GUNU,model,13,0.0,3,0.6267,1,1,0,1.0,True
Assurbanipal,0x120e3,GA2 TIMES SAL,model,9,0.0004,3,0.499,0,0,0,1.0,True
Assurbanipal,0x120ff,GESHTIN TIMES KUR,model,9,0.0002,3,0.5516,1,0,0,1.0,True
Assurbanipal,0x12112,GISH CROSSING GISH,model,7,0.0002,3,0.4812,2,1,0,1.0,True
Assurbanipal,0x12121,GUD OVER GUD LUGAL,model,22,0.0004,3,0.7436,0,0,0,1.0,True
Assurbanipal,0x1213e,HUL2,model,10,0.0,3,0.604,3,2,0,1.0,True
Assurbanipal,0x12150,IM CROSSING IM,model,14,0.0001,3,0.5891,0,1,0,1.0,True
Assurbanipal,0x1217a,KA TIMES NE,model,16,0.0005,3,0.669,0,0,0,1.0,True
Assurbanipal,0x1217f,KA TIMES SAR,model,16,0.0002,3,0.6967,0,1,0,1.0,True
Assurbanipal,0x1219b,KAM4,model,14,0.0006,3,0.5896,1,0,0,1.0,True
