x,y,label
65.06,88.86,Stroke 1
91.97,90.09,Stroke 1
76.51,101.09,Stroke 1
76.09,146.1,Stroke 1
98.83,103.9,Stroke 2
80.86,122.73,Stroke 2
94.11,121.86,Stroke 2
102.14,128.73,Stroke 2
101.03,88.81,Stroke 3
98.81,111.76,Stroke 3
109.95,102.25,Stroke 3
147.88,103.1,Stroke 3
103.82,105.82,Stroke 4
117.95,109.08,Stroke 4
110.8,113.49,Stroke 4
110.89,143.11,Stroke 4
118.96,129.91,Stroke 5
116.1,141.03,Stroke 5
123.5,135.15,Stroke 5
148.79,134.94,Stroke 5
119.05,122.0,Stroke 6
118.96,129.91,Stroke 6
124.26,125.46,Stroke 6
148.91,126.09,Stroke 6
117.95,109.08,Stroke 7
119.05,122.0,Stroke 7
124.87,117.99,Stroke 7
148.91,118.84,Stroke 7
141.17,92.78,Stroke 8
164.0,93.98,Stroke 8
151.03,103.77,Stroke 8
150.91,142.88,Stroke 8
166.09,105.06,Stroke 9
190.97,106.77,Stroke 9
176.31,114.86,Stroke 9
175.96,145.95,Stroke 9
165.98,88.18,Stroke 10
190.91,89.79,Stroke 10
176.4,97.02,Stroke 10
175.81,106.89,Stroke 10
