x,y,label
59.97,100.93,Stroke 1
57.13,126.82,Stroke 1
69.27,115.31,Stroke 1
98.92,116.94,Stroke 1
91.06,87.01,Stroke 2
113.85,90.2,Stroke 2
101.95,98.96,Stroke 2
101.91,140.92,Stroke 2
91.99,128.97,Stroke 3
89.06,153.92,Stroke 3
102.92,143.17,Stroke 3
138.99,142.87,Stroke 3
123.96,117.17,Stroke 4
116.88,124.09,Stroke 4
124.63,124.08,Stroke 4
130.76,128.85,Stroke 4
114.79,83.89,Stroke 5
111.95,108.85,Stroke 5
125.34,98.0,Stroke 5
180.07,100.03,Stroke 5
130.72,109.97,Stroke 6
123.96,117.17,Stroke 6
129.34,118.5,Stroke 6
135.15,122.96,Stroke 6
132.16,103.01,Stroke 7
149.13,104.2,Stroke 7
139.13,108.85,Stroke 7
139.34,117.81,Stroke 7
132.16,115.13,Stroke 8
149.77,116.07,Stroke 8
139.51,121.88,Stroke 8
138.99,142.87,Stroke 8
149.77,116.07,Stroke 9
149.84,127.8,Stroke 9
157.71,120.2,Stroke 9
164.88,121.79,Stroke 9
165.18,110.93,Stroke 10
163.87,127.86,Stroke 10
171.79,120.85,Stroke 10
198.9,121.94,Stroke 10
173.06,89.78,Stroke 11
198.89,91.12,Stroke 11
184.52,101.61,Stroke 11
183.0,144.09,Stroke 11
