x,y,label
33.16,121.99,Stroke 1
30.95,147.89,Stroke 1
43.75,137.01,Stroke 1
86.77,138.05,Stroke 1
34.09,85.16,Stroke 2
31.82,111.01,Stroke 2
44.25,100.45,Stroke 2
85.1,101.0,Stroke 2
43.86,111.92,Stroke 3
57.01,114.79,Stroke 3
50.76,119.52,Stroke 3
50.85,147.24,Stroke 3
57.01,114.79,Stroke 4
66.08,114.98,Stroke 4
61.02,119.83,Stroke 4
61.01,147.82,Stroke 4
79.92,113.99,Stroke 5
66.08,114.98,Stroke 5
70.39,120.39,Stroke 5
69.94,148.05,Stroke 5
79.16,105.17,Stroke 6
106.02,108.03,Stroke 6
88.92,113.82,Stroke 6
86.77,138.05,Stroke 6
79.1,89.08,Stroke 7
102.03,90.09,Stroke 7
89.36,96.95,Stroke 7
87.95,105.21,Stroke 7
106.02,108.03,Stroke 8
91.79,123.01,Stroke 8
102.93,122.7,Stroke 8
111.13,129.16,Stroke 8
110.16,86.16,Stroke 9
106.02,108.03,Stroke 9
120.08,101.19,Stroke 9
207.96,101.16,Stroke 9
114.67,125.45,Stroke 10
109.89,147.03,Stroke 10
122.24,136.68,Stroke 10
211.15,137.86,Stroke 10
118.9,119.95,Stroke 11
117.11,126.52,Stroke 11
122.91,123.74,Stroke 11
131.16,123.98,Stroke 11
117.85,107.05,Stroke 12
118.9,119.95,Stroke 12
122.93,115.32,Stroke 12
131.05,115.92,Stroke 12
128.74,104.81,Stroke 13
137.92,106.12,Stroke 13
133.45,110.8,Stroke 13
133.28,132.83,Stroke 13
137.92,106.12,Stroke 14
144.84,106.95,Stroke 14
140.94,110.71,Stroke 14
140.93,132.81,Stroke 14
144.84,106.95,Stroke 15
153.07,107.0,Stroke 15
148.14,110.68,Stroke 15
147.76,132.99,Stroke 15
155.1,120.02,Stroke 16
152.92,128.95,Stroke 16
158.8,123.64,Stroke 16
165.93,124.94,Stroke 16
153.07,107.0,Stroke 17
155.1,120.02,Stroke 17
159.87,116.06,Stroke 17
168.99,119.33,Stroke 17
167.07,111.89,Stroke 18
165.88,126.91,Stroke 18
172.82,120.52,Stroke 18
178.97,121.02,Stroke 18
184.04,115.86,Stroke 19
178.07,126.11,Stroke 19
184.49,120.74,Stroke 19
192.89,119.9,Stroke 19
189.2,110.33,Stroke 20
184.04,115.86,Stroke 20
188.37,115.99,Stroke 20
192.89,119.9,Stroke 20
200.56,105.82,Stroke 21
191.81,106.04,Stroke 21
195.89,110.83,Stroke 21
195.38,132.9,Stroke 21
200.03,107.17,Stroke 22
206.08,107.88,Stroke 22
203.06,111.21,Stroke 22
202.89,132.87,Stroke 22
213.86,107.2,Stroke 23
206.08,107.88,Stroke 23
209.8,111.53,Stroke 23
209.4,133.1,Stroke 23
