x,y,label
38.21,100.05,Stroke 1
36.93,126.01,Stroke 1
48.91,115.26,Stroke 1
68.02,116.13,Stroke 1
36.93,126.01,Stroke 2
34.05,153.86,Stroke 2
49.27,142.94,Stroke 2
108.07,144.0,Stroke 2
68.92,90.03,Stroke 3
70.86,107.02,Stroke 3
76.77,102.85,Stroke 3
110.87,103.01,Stroke 3
70.86,107.02,Stroke 4
70.78,118.93,Stroke 4
77.26,112.98,Stroke 4
111.19,113.84,Stroke 4
70.78,118.93,Stroke 5
66.06,134.03,Stroke 5
77.58,125.66,Stroke 5
111.02,125.86,Stroke 5
103.04,89.1,Stroke 6
128.11,91.83,Stroke 6
114.32,102.05,Stroke 6
111.02,125.86,Stroke 6
128.97,85.04,Stroke 7
126.75,110.84,Stroke 7
139.9,99.91,Stroke 7
202.22,101.93,Stroke 7
136.86,105.83,Stroke 8
134.1,117.93,Stroke 8
141.8,111.93,Stroke 8
156.92,112.13,Stroke 8
145.85,132.99,Stroke 9
142.92,143.85,Stroke 9
150.73,137.65,Stroke 9
168.14,137.94,Stroke 9
145.93,124.96,Stroke 10
145.85,132.99,Stroke 10
150.89,128.59,Stroke 10
176.03,128.97,Stroke 10
145.1,113.87,Stroke 11
145.93,124.96,Stroke 11
151.13,120.67,Stroke 11
175.87,121.17,Stroke 11
168.96,106.21,Stroke 12
157.8,112.76,Stroke 12
162.98,113.17,Stroke 12
166.91,115.63,Stroke 12
168.21,130.84,Stroke 13
167.88,143.89,Stroke 13
175.2,139.52,Stroke 13
201.07,139.91,Stroke 13
168.96,106.21,Stroke 14
186.99,108.22,Stroke 14
177.98,114.39,Stroke 14
176.03,128.97,Stroke 14
194.99,88.81,Stroke 15
221.14,90.14,Stroke 15
206.69,101.75,Stroke 15
205.04,145.79,Stroke 15
