x,y,label
46.98,125.01,Stroke 1
44.08,153.01,Stroke 1
58.99,142.29,Stroke 1
118.08,143.05,Stroke 1
48.81,99.83,Stroke 2
46.98,125.01,Stroke 2
59.0,114.39,Stroke 2
77.94,115.92,Stroke 2
78.9,89.78,Stroke 3
80.85,106.92,Stroke 3
86.83,102.06,Stroke 3
120.85,102.12,Stroke 3
80.85,106.92,Stroke 4
80.8,118.0,Stroke 4
86.94,112.75,Stroke 4
121.03,112.99,Stroke 4
80.8,118.0,Stroke 5
76.01,133.81,Stroke 5
87.16,125.14,Stroke 5
121.03,124.99,Stroke 5
113.01,88.84,Stroke 6
138.07,90.93,Stroke 6
124.42,101.07,Stroke 6
121.03,124.99,Stroke 6
118.9,128.98,Stroke 7
116.16,154.9,Stroke 7
130.39,143.28,Stroke 7
171.78,143.07,Stroke 7
138.98,84.82,Stroke 8
136.13,110.08,Stroke 8
149.25,99.75,Stroke 8
191.95,101.0,Stroke 8
155.95,111.05,Stroke 9
142.81,125.8,Stroke 9
152.44,124.78,Stroke 9
157.91,129.22,Stroke 9
156.98,103.88,Stroke 10
168.0,105.12,Stroke 10
162.6,108.78,Stroke 10
162.13,116.02,Stroke 10
158.3,116.25,Stroke 11
168.03,117.11,Stroke 11
162.82,121.89,Stroke 11
162.07,143.06,Stroke 11
180.8,104.31,Stroke 12
168.0,105.12,Stroke 12
172.04,108.42,Stroke 12
171.15,115.87,Stroke 12
180.97,116.26,Stroke 13
168.03,117.11,Stroke 13
172.08,122.41,Stroke 13
171.78,143.07,Stroke 13
184.84,88.16,Stroke 14
210.93,90.06,Stroke 14
195.88,101.15,Stroke 14
195.9,146.59,Stroke 14
