x,y,label
43.23,100.07,Stroke 1
41.93,126.01,Stroke 1
53.99,115.28,Stroke 1
73.02,116.15,Stroke 1
41.93,126.01,Stroke 2
39.08,153.86,Stroke 2
54.02,143.06,Stroke 2
113.04,143.91,Stroke 2
73.93,90.04,Stroke 3
75.87,107.0,Stroke 3
81.69,102.87,Stroke 3
115.18,103.05,Stroke 3
75.87,107.0,Stroke 4
75.77,118.93,Stroke 4
82.12,113.05,Stroke 4
115.83,113.86,Stroke 4
75.77,118.93,Stroke 5
71.08,134.03,Stroke 5
82.54,125.63,Stroke 5
115.87,125.74,Stroke 5
107.93,89.17,Stroke 6
133.07,91.87,Stroke 6
119.46,100.85,Stroke 6
113.04,143.91,Stroke 6
114.05,129.84,Stroke 7
111.13,155.81,Stroke 7
125.33,144.12,Stroke 7
183.72,143.97,Stroke 7
133.98,114.84,Stroke 8
132.12,130.92,Stroke 8
140.91,123.95,Stroke 8
148.21,124.79,Stroke 8
133.98,85.69,Stroke 9
133.98,114.84,Stroke 9
144.66,100.95,Stroke 9
198.08,101.97,Stroke 9
150.0,129.94,Stroke 10
146.9,141.0,Stroke 10
155.32,134.82,Stroke 10
181.9,134.95,Stroke 10
150.69,120.97,Stroke 11
150.0,129.94,Stroke 11
155.61,124.77,Stroke 11
181.89,125.9,Stroke 11
149.02,107.18,Stroke 12
150.69,120.97,Stroke 12
156.08,116.86,Stroke 12
181.06,117.14,Stroke 12
176.85,105.94,Stroke 13
193.1,107.17,Stroke 13
183.55,114.21,Stroke 13
183.72,143.97,Stroke 13
190.87,88.18,Stroke 14
217.06,90.06,Stroke 14
202.05,101.94,Stroke 14
201.03,145.05,Stroke 14
