x,y,label
69.93,81.88,Stroke 1
67.11,108.12,Stroke 1
80.17,97.29,Stroke 1
168.78,98.19,Stroke 1
71.18,125.21,Stroke 2
68.99,151.98,Stroke 2
82.32,141.28,Stroke 2
124.69,140.64,Stroke 2
79.93,115.77,Stroke 3
93.11,118.06,Stroke 3
86.93,123.45,Stroke 3
86.97,153.96,Stroke 3
107.0,117.13,Stroke 4
93.11,118.06,Stroke 4
98.01,123.57,Stroke 4
97.33,153.93,Stroke 4
103.95,104.19,Stroke 5
115.97,106.99,Stroke 5
110.59,111.95,Stroke 5
110.62,138.84,Stroke 5
132.28,105.02,Stroke 6
115.97,106.99,Stroke 6
119.91,111.2,Stroke 6
119.82,137.98,Stroke 6
115.97,106.99,Stroke 7
128.59,111.01,Stroke 7
120.53,116.86,Stroke 7
119.82,137.98,Stroke 7
134.69,114.07,Stroke 8
123.17,125.98,Stroke 8
131.64,125.54,Stroke 8
136.96,129.81,Stroke 8
132.84,105.03,Stroke 9
147.05,106.09,Stroke 9
138.92,111.92,Stroke 9
136.96,129.81,Stroke 9
141.88,113.91,Stroke 10
140.8,130.04,Stroke 10
147.64,124.03,Stroke 10
170.87,124.11,Stroke 10
162.01,88.83,Stroke 11
188.11,90.16,Stroke 11
173.41,101.19,Stroke 11
172.93,146.13,Stroke 11
