x,y,label
69.88,81.8,Stroke 1
67.03,108.02,Stroke 1
80.94,97.18,Stroke 1
168.16,97.95,Stroke 1
71.13,125.14,Stroke 2
68.89,151.85,Stroke 2
82.6,140.98,Stroke 2
126.44,140.26,Stroke 2
79.83,115.1,Stroke 3
93.91,117.94,Stroke 3
86.82,122.96,Stroke 3
86.84,153.26,Stroke 3
107.81,116.08,Stroke 4
93.91,117.94,Stroke 4
97.83,122.61,Stroke 4
97.23,153.83,Stroke 4
109.09,107.92,Stroke 5
107.07,127.8,Stroke 5
116.94,119.89,Stroke 5
147.03,120.76,Stroke 5
162.0,111.83,Stroke 6
160.86,128.08,Stroke 6
149.05,120.52,Stroke 6
124.94,120.38,Stroke 6
161.91,88.14,Stroke 7
188.05,90.03,Stroke 7
172.97,100.58,Stroke 7
172.86,145.99,Stroke 7
