x,y,label
84.19,123.96,Stroke 1
81.9,149.88,Stroke 1
95.23,139.49,Stroke 1
139.69,136.92,Stroke 1
83.96,87.02,Stroke 2
81.08,112.99,Stroke 2
95.27,102.24,Stroke 2
155.93,103.16,Stroke 2
92.84,110.75,Stroke 3
105.04,113.15,Stroke 3
99.29,118.54,Stroke 3
99.25,146.93,Stroke 3
118.97,112.04,Stroke 4
105.04,113.15,Stroke 4
109.54,118.25,Stroke 4
109.19,147.01,Stroke 4
122.07,121.97,Stroke 5
119.02,134.82,Stroke 5
127.89,127.71,Stroke 5
156.99,128.11,Stroke 5
122.32,107.23,Stroke 6
122.07,121.97,Stroke 6
127.99,117.75,Stroke 6
156.93,117.96,Stroke 6
134.04,120.1,Stroke 7
149.13,121.94,Stroke 7
140.37,127.98,Stroke 7
139.69,136.92,Stroke 7
148.84,90.85,Stroke 8
174.05,92.11,Stroke 8
159.63,103.27,Stroke 8
159.03,146.89,Stroke 8
