x,y,label
57.15,81.9,Stroke 1
54.08,108.06,Stroke 1
70.98,97.43,Stroke 1
182.13,98.15,Stroke 1
59.81,125.83,Stroke 2
56.11,151.99,Stroke 2
72.66,140.96,Stroke 2
113.5,140.14,Stroke 2
65.96,114.05,Stroke 3
79.9,117.02,Stroke 3
73.16,122.29,Stroke 3
73.08,152.84,Stroke 3
93.16,115.87,Stroke 4
79.9,117.02,Stroke 4
84.21,121.74,Stroke 4
83.83,152.9,Stroke 4
95.34,121.31,Stroke 5
92.92,132.79,Stroke 5
100.63,126.78,Stroke 5
119.08,126.95,Stroke 5
94.14,107.92,Stroke 6
93.16,115.87,Stroke 6
100.65,116.71,Stroke 6
119.09,117.82,Stroke 6
115.11,103.8,Stroke 7
125.94,106.02,Stroke 7
120.85,110.73,Stroke 7
120.67,137.11,Stroke 7
125.94,106.02,Stroke 8
132.9,106.8,Stroke 8
128.85,110.76,Stroke 8
128.74,137.06,Stroke 8
142.94,105.87,Stroke 9
132.9,106.8,Stroke 9
136.06,110.95,Stroke 9
135.86,137.79,Stroke 9
142.94,105.87,Stroke 10
157.89,106.01,Stroke 10
150.61,111.76,Stroke 10
150.03,137.71,Stroke 10
157.89,106.01,Stroke 11
158.21,118.91,Stroke 11
165.91,112.9,Stroke 11
183.98,113.14,Stroke 11
175.92,88.16,Stroke 12
202.02,90.1,Stroke 12
186.99,100.98,Stroke 12
186.24,146.08,Stroke 12
