x,y,label
71.94,126.15,Stroke 1
69.19,152.07,Stroke 1
81.88,142.2,Stroke 1
124.38,141.69,Stroke 1
73.16,82.84,Stroke 2
71.0,108.12,Stroke 2
83.74,97.83,Stroke 2
164.18,98.83,Stroke 2
79.9,113.15,Stroke 3
94.0,116.77,Stroke 3
87.16,121.86,Stroke 3
87.16,153.12,Stroke 3
109.0,114.92,Stroke 4
94.0,116.77,Stroke 4
98.36,122.41,Stroke 4
98.08,153.14,Stroke 4
107.82,103.1,Stroke 5
123.18,105.01,Stroke 5
114.44,110.84,Stroke 5
114.02,137.74,Stroke 5
120.79,110.77,Stroke 6
118.9,124.87,Stroke 6
125.76,118.95,Stroke 6
131.98,119.76,Stroke 6
133.05,110.23,Stroke 7
131.78,124.89,Stroke 7
138.11,119.25,Stroke 7
146.03,119.16,Stroke 7
141.96,102.93,Stroke 8
152.08,105.13,Stroke 8
147.45,108.86,Stroke 8
146.03,119.16,Stroke 8
147.5,130.69,Stroke 9
155.04,132.61,Stroke 9
149.53,135.31,Stroke 9
143.33,138.79,Stroke 9
162.81,104.03,Stroke 10
152.08,105.13,Stroke 10
155.41,109.02,Stroke 10
155.73,129.88,Stroke 10
158.06,126.8,Stroke 11
150.98,135.98,Stroke 11
156.41,135.51,Stroke 11
152.0,138.14,Stroke 11
158.93,90.15,Stroke 12
184.82,92.05,Stroke 12
169.97,102.75,Stroke 12
169.21,146.09,Stroke 12
