x,y,label
75.12,125.86,Stroke 1
72.93,151.83,Stroke 1
84.91,141.0,Stroke 1
125.19,141.48,Stroke 1
75.09,83.0,Stroke 2
72.86,109.06,Stroke 2
85.08,98.42,Stroke 2
162.04,99.12,Stroke 2
83.86,110.9,Stroke 3
98.06,113.92,Stroke 3
91.29,119.65,Stroke 3
91.24,151.97,Stroke 3
113.72,112.04,Stroke 4
98.06,113.92,Stroke 4
103.14,119.79,Stroke 4
102.8,152.03,Stroke 4
124.87,108.99,Stroke 5
112.79,121.72,Stroke 5
121.47,120.91,Stroke 5
126.87,125.2,Stroke 5
128.8,119.07,Stroke 6
126.12,131.82,Stroke 6
133.03,124.69,Stroke 6
138.85,125.24,Stroke 6
124.87,108.99,Stroke 7
128.8,119.07,Stroke 7
133.75,115.15,Stroke 7
138.92,115.9,Stroke 7
140.05,118.96,Stroke 8
138.07,131.08,Stroke 8
144.77,124.93,Stroke 8
164.82,125.18,Stroke 8
139.22,105.81,Stroke 9
140.05,118.96,Stroke 9
145.29,114.61,Stroke 9
164.2,115.81,Stroke 9
156.12,90.04,Stroke 10
181.95,91.97,Stroke 10
167.1,102.62,Stroke 10
166.86,146.07,Stroke 10
