x,y,label
74.83,125.14,Stroke 1
72.08,151.03,Stroke 1
84.64,140.67,Stroke 1
131.14,137.12,Stroke 1
76.93,82.84,Stroke 2
74.13,108.85,Stroke 2
87.52,97.8,Stroke 2
163.13,98.85,Stroke 2
82.94,112.79,Stroke 3
95.95,115.78,Stroke 3
89.77,120.36,Stroke 3
89.78,149.15,Stroke 3
109.87,113.96,Stroke 4
95.95,115.78,Stroke 4
100.13,120.58,Stroke 4
99.82,149.19,Stroke 4
114.07,119.98,Stroke 5
110.91,132.82,Stroke 5
119.27,125.98,Stroke 5
129.11,126.15,Stroke 5
112.28,106.15,Stroke 6
114.27,118.15,Stroke 6
119.63,115.61,Stroke 6
131.81,114.93,Stroke 6
125.84,103.87,Stroke 7
137.04,106.88,Stroke 7
131.92,110.96,Stroke 7
129.11,126.15,Stroke 7
126.84,112.01,Stroke 8
136.1,115.96,Stroke 8
132.26,118.97,Stroke 8
131.14,137.12,Stroke 8
146.75,115.91,Stroke 9
136.1,115.96,Stroke 9
140.36,119.7,Stroke 9
139.8,137.06,Stroke 9
137.04,106.88,Stroke 10
144.9,107.06,Stroke 10
140.72,110.72,Stroke 10
147.35,137.12,Stroke 10
144.9,116.12,Stroke 11
151.96,116.12,Stroke 11
147.83,119.83,Stroke 11
147.35,137.12,Stroke 11
137.79,106.9,Stroke 12
152.91,107.15,Stroke 12
148.49,110.62,Stroke 12
147.35,137.12,Stroke 12
163.72,115.65,Stroke 13
151.96,116.12,Stroke 13
155.7,120.36,Stroke 13
155.59,137.8,Stroke 13
163.91,106.08,Stroke 14
152.91,107.15,Stroke 14
156.38,110.45,Stroke 14
155.88,114.68,Stroke 14
157.85,90.8,Stroke 15
183.78,92.14,Stroke 15
169.04,102.64,Stroke 15
168.06,146.17,Stroke 15
