x,y,label
80.97,81.11,Stroke 1
78.08,107.96,Stroke 1
92.25,96.86,Stroke 1
156.95,97.95,Stroke 1
82.21,125.05,Stroke 2
79.93,151.85,Stroke 2
93.08,140.94,Stroke 2
141.12,139.8,Stroke 2
90.94,115.01,Stroke 3
104.08,117.91,Stroke 3
98.04,123.03,Stroke 3
97.92,153.19,Stroke 3
119.86,115.61,Stroke 4
104.08,117.91,Stroke 4
108.96,123.29,Stroke 4
108.36,153.17,Stroke 4
133.05,103.08,Stroke 5
123.83,111.9,Stroke 5
131.13,111.08,Stroke 5
135.17,115.17,Stroke 5
133.96,103.99,Stroke 6
122.73,120.67,Stroke 6
131.33,120.84,Stroke 6
135.95,124.32,Stroke 6
133.05,103.08,Stroke 7
150.79,105.83,Stroke 7
141.48,112.01,Stroke 7
141.12,139.8,Stroke 7
150.88,88.9,Stroke 8
176.98,90.84,Stroke 8
161.89,101.04,Stroke 8
161.26,146.77,Stroke 8
