x,y,label
85.89,121.07,Stroke 1
82.13,147.79,Stroke 1
100.47,136.16,Stroke 1
140.2,141.71,Stroke 1
101.18,88.21,Stroke 2
98.92,114.97,Stroke 2
112.12,104.05,Stroke 2
155.13,104.85,Stroke 2
109.0,115.94,Stroke 3
125.89,120.08,Stroke 3
117.53,126.42,Stroke 3
116.77,142.86,Stroke 3
137.05,120.06,Stroke 4
125.89,120.08,Stroke 4
130.15,126.77,Stroke 4
129.14,142.24,Stroke 4
152.92,118.79,Stroke 5
137.05,120.06,Stroke 5
141.24,126.95,Stroke 5
140.24,142.79,Stroke 5
147.84,88.76,Stroke 6
173.98,90.11,Stroke 6
158.82,100.82,Stroke 6
158.21,146.02,Stroke 6
