x,y,label
74.86,127.03,Stroke 1
71.97,153.86,Stroke 1
86.02,142.69,Stroke 1
128.04,143.08,Stroke 1
77.97,91.02,Stroke 2
75.1,117.88,Stroke 2
88.59,106.43,Stroke 2
124.87,107.07,Stroke 2
110.61,110.82,Stroke 3
98.99,122.1,Stroke 3
107.11,121.8,Stroke 3
111.73,125.05,Stroke 3
112.98,125.96,Stroke 4
101.72,137.81,Stroke 4
110.27,137.33,Stroke 4
116.19,141.71,Stroke 4
123.72,113.83,Stroke 5
112.98,125.96,Stroke 5
120.44,124.84,Stroke 5
124.93,129.3,Stroke 5
138.27,95.47,Stroke 6
123.78,113.37,Stroke 6
134.38,109.84,Stroke 6
140.89,119.06,Stroke 6
128.81,128.96,Stroke 7
125.93,155.81,Stroke 7
139.87,144.06,Stroke 7
183.88,145.84,Stroke 7
144.84,87.12,Stroke 8
170.86,89.06,Stroke 8
156.06,99.92,Stroke 8
155.13,143.84,Stroke 8
174.97,103.02,Stroke 9
157.89,121.08,Stroke 9
170.07,120.3,Stroke 9
178.16,127.2,Stroke 9
