x,y,label
58.89,102.83,Stroke 1
56.09,127.95,Stroke 1
68.02,118.22,Stroke 1
84.2,118.1,Stroke 1
74.86,124.02,Stroke 2
71.94,150.12,Stroke 2
84.71,139.22,Stroke 2
113.06,141.03,Stroke 2
77.01,85.11,Stroke 3
74.9,111.02,Stroke 3
86.34,100.72,Stroke 3
110.12,102.03,Stroke 3
101.74,129.87,Stroke 4
98.9,155.09,Stroke 4
112.57,144.75,Stroke 4
180.96,111.83,Stroke 4
102.91,87.13,Stroke 5
126.98,90.03,Stroke 5
113.85,99.92,Stroke 5
113.06,141.03,Stroke 5
125.0,108.11,Stroke 6
115.29,118.86,Stroke 6
120.84,115.06,Stroke 6
125.75,120.21,Stroke 6
123.08,131.95,Stroke 7
122.03,139.05,Stroke 7
126.98,135.22,Stroke 7
139.96,135.01,Stroke 7
120.79,112.84,Stroke 8
124.01,124.11,Stroke 8
127.67,121.92,Stroke 8
144.84,122.08,Stroke 8
124.01,124.11,Stroke 9
123.08,131.95,Stroke 9
127.79,128.42,Stroke 9
144.76,128.69,Stroke 9
139.05,110.91,Stroke 10
128.86,113.89,Stroke 10
135.16,115.92,Stroke 10
137.85,120.63,Stroke 10
127.23,82.15,Stroke 11
125.0,108.11,Stroke 11
138.61,97.2,Stroke 11
179.09,98.91,Stroke 11
139.88,130.11,Stroke 12
138.14,141.79,Stroke 12
146.09,136.54,Stroke 12
159.65,137.5,Stroke 12
139.05,110.91,Stroke 13
151.07,112.14,Stroke 13
146.51,116.38,Stroke 13
144.76,128.69,Stroke 13
151.07,112.14,Stroke 14
152.16,120.04,Stroke 14
158.13,116.38,Stroke 14
175.79,121.03,Stroke 14
152.16,120.04,Stroke 15
155.29,124.29,Stroke 15
158.25,121.06,Stroke 15
180.96,111.83,Stroke 15
152.16,120.04,Stroke 16
154.76,128.97,Stroke 16
158.55,126.44,Stroke 16
175.92,126.17,Stroke 16
154.76,128.97,Stroke 17
153.87,135.85,Stroke 17
158.92,132.25,Stroke 17
177.03,136.98,Stroke 17
170.08,110.96,Stroke 18
181.83,111.57,Stroke 18
178.18,115.03,Stroke 18
177.0,136.36,Stroke 18
172.21,88.18,Stroke 19
198.95,90.05,Stroke 19
183.88,101.1,Stroke 19
182.96,145.12,Stroke 19
