x,y,label
101.97,105.87,Stroke 1
81.06,127.15,Stroke 1
96.35,126.87,Stroke 1
105.88,134.05,Stroke 1
99.88,87.97,Stroke 2
126.04,89.93,Stroke 2
111.0,99.56,Stroke 2
109.38,143.97,Stroke 2
106.18,129.04,Stroke 3
103.89,155.86,Stroke 3
117.39,145.16,Stroke 3
160.99,145.86,Stroke 3
121.99,127.98,Stroke 4
119.07,138.98,Stroke 4
126.82,132.06,Stroke 4
148.95,128.1,Stroke 4
121.08,114.02,Stroke 5
121.99,127.98,Stroke 5
127.49,124.56,Stroke 5
138.02,124.29,Stroke 5
122.13,96.02,Stroke 6
121.08,114.02,Stroke 6
129.44,107.0,Stroke 6
156.08,108.05,Stroke 6
140.82,123.99,Stroke 7
137.43,128.44,Stroke 7
138.73,131.12,Stroke 7
137.04,131.93,Stroke 7
149.46,114.92,Stroke 8
138.41,118.23,Stroke 8
143.52,120.41,Stroke 8
142.96,131.91,Stroke 8
145.16,109.12,Stroke 9
155.94,111.26,Stroke 9
150.64,116.06,Stroke 9
150.76,143.85,Stroke 9
148.0,88.07,Stroke 10
174.08,90.01,Stroke 10
159.35,100.03,Stroke 10
160.99,145.86,Stroke 10
