x,y,label
79.82,112.06,Stroke 1
77.01,137.05,Stroke 1
88.91,126.55,Stroke 1
103.83,127.8,Stroke 1
106.87,118.91,Stroke 2
105.98,132.05,Stroke 2
113.99,124.59,Stroke 2
124.09,125.87,Stroke 2
105.98,132.05,Stroke 3
100.94,150.08,Stroke 3
114.56,139.84,Stroke 3
160.39,140.03,Stroke 3
104.05,97.15,Stroke 4
106.87,118.91,Stroke 4
114.72,112.02,Stroke 4
124.87,112.93,Stroke 4
126.83,119.93,Stroke 5
121.9,138.01,Stroke 5
134.32,128.54,Stroke 5
161.85,129.02,Stroke 5
124.81,86.04,Stroke 6
127.0,106.93,Stroke 6
135.04,101.13,Stroke 6
160.14,101.91,Stroke 6
127.0,106.93,Stroke 7
126.83,119.93,Stroke 7
135.22,113.38,Stroke 7
161.25,114.84,Stroke 7
153.03,88.83,Stroke 8
179.09,90.77,Stroke 8
164.17,101.74,Stroke 8
163.82,146.1,Stroke 8
