x,y,label
50.21,105.15,Stroke 1
47.94,131.09,Stroke 1
62.72,120.03,Stroke 1
101.79,120.95,Stroke 1
76.17,89.74,Stroke 2
102.04,91.82,Stroke 2
87.28,101.46,Stroke 2
87.01,146.11,Stroke 2
103.9,122.07,Stroke 3
90.89,131.66,Stroke 3
102.91,131.78,Stroke 3
109.94,137.99,Stroke 3
111.06,114.02,Stroke 4
103.9,122.07,Stroke 4
111.15,124.17,Stroke 4
118.2,131.02,Stroke 4
122.51,105.89,Stroke 5
111.06,114.02,Stroke 5
118.33,116.67,Stroke 5
124.28,123.83,Stroke 5
127.96,129.23,Stroke 6
111.04,140.79,Stroke 6
123.18,139.95,Stroke 6
131.01,146.11,Stroke 6
130.02,106.02,Stroke 7
127.95,129.91,Stroke 7
138.7,119.28,Stroke 7
150.11,120.13,Stroke 7
150.97,106.0,Stroke 8
148.16,129.81,Stroke 8
160.06,120.19,Stroke 8
200.01,121.04,Stroke 8
154.75,89.93,Stroke 9
174.0,93.98,Stroke 9
165.09,102.01,Stroke 9
165.15,145.01,Stroke 9
174.0,93.98,Stroke 10
187.91,94.97,Stroke 10
179.47,102.73,Stroke 10
179.33,144.99,Stroke 10
182.05,91.86,Stroke 11
206.97,92.15,Stroke 11
192.27,102.98,Stroke 11
192.11,145.91,Stroke 11
