x,y,label
72.03,129.11,Stroke 1
69.11,155.86,Stroke 1
83.27,144.81,Stroke 1
166.96,96.96,Stroke 1
72.83,87.85,Stroke 2
97.85,89.88,Stroke 2
84.06,100.68,Stroke 2
83.09,141.97,Stroke 2
98.13,80.05,Stroke 3
95.8,106.04,Stroke 3
109.16,94.98,Stroke 3
166.96,96.96,Stroke 3
103.08,104.07,Stroke 4
115.96,107.05,Stroke 4
110.01,112.47,Stroke 4
109.95,140.15,Stroke 4
115.09,112.96,Stroke 5
127.9,113.96,Stroke 5
120.46,118.87,Stroke 5
120.28,140.81,Stroke 5
130.04,105.87,Stroke 6
114.05,107.81,Stroke 6
120.63,111.65,Stroke 6
120.28,140.81,Stroke 6
133.95,105.97,Stroke 7
144.06,108.07,Stroke 7
139.39,111.94,Stroke 7
138.96,119.04,Stroke 7
139.01,120.94,Stroke 8
155.72,122.34,Stroke 8
145.58,128.83,Stroke 8
144.77,139.09,Stroke 8
152.92,107.9,Stroke 9
144.06,108.07,Stroke 9
148.31,111.35,Stroke 9
147.93,121.08,Stroke 9
163.85,107.16,Stroke 10
152.92,107.9,Stroke 10
155.93,111.52,Stroke 10
154.02,121.86,Stroke 10
161.01,88.86,Stroke 11
187.17,90.8,Stroke 11
172.3,100.81,Stroke 11
171.05,145.08,Stroke 11
