x,y,label
80.04,85.79,Stroke 1
105.19,87.95,Stroke 1
91.54,97.89,Stroke 1
91.06,139.81,Stroke 1
80.06,126.93,Stroke 2
77.05,153.01,Stroke 2
92.04,142.29,Stroke 2
139.13,140.89,Stroke 2
101.89,113.0,Stroke 3
100.78,128.78,Stroke 3
108.37,122.45,Stroke 3
116.01,122.94,Stroke 3
106.13,80.89,Stroke 4
103.9,106.0,Stroke 4
116.78,95.12,Stroke 4
157.1,96.81,Stroke 4
116.2,112.22,Stroke 5
114.88,129.03,Stroke 5
122.96,122.66,Stroke 5
150.22,123.02,Stroke 5
131.92,101.11,Stroke 6
149.85,102.8,Stroke 6
139.31,109.97,Stroke 6
139.13,140.89,Stroke 6
151.98,88.78,Stroke 7
178.09,90.12,Stroke 7
163.46,100.73,Stroke 7
162.96,146.08,Stroke 7
