x,y,label
81.02,127.83,Stroke 1
78.1,153.0,Stroke 1
91.22,142.15,Stroke 1
161.22,145.97,Stroke 1
81.07,87.8,Stroke 2
105.86,89.91,Stroke 2
92.23,99.91,Stroke 2
91.32,138.9,Stroke 2
102.14,122.04,Stroke 3
99.03,133.83,Stroke 3
106.95,127.63,Stroke 3
132.79,127.92,Stroke 3
103.95,108.05,Stroke 4
102.14,122.04,Stroke 4
107.53,117.75,Stroke 4
132.07,117.97,Stroke 4
106.18,82.84,Stroke 5
103.95,108.05,Stroke 5
116.85,96.96,Stroke 5
156.12,98.85,Stroke 5
127.81,104.01,Stroke 6
146.88,108.84,Stroke 6
134.48,111.65,Stroke 6
132.79,127.92,Stroke 6
146.88,108.84,Stroke 7
137.06,119.79,Stroke 7
144.01,119.52,Stroke 7
148.08,123.27,Stroke 7
147.98,120.28,Stroke 8
136.91,131.18,Stroke 8
144.77,131.25,Stroke 8
148.98,134.78,Stroke 8
151.0,90.18,Stroke 9
176.82,92.06,Stroke 9
162.29,102.5,Stroke 9
161.22,145.97,Stroke 9
