x,y,label
71.89,129.79,Stroke 1
68.96,155.83,Stroke 1
83.2,143.88,Stroke 1
166.85,97.0,Stroke 1
72.11,87.82,Stroke 2
97.12,89.95,Stroke 2
83.61,100.55,Stroke 2
83.04,141.86,Stroke 2
98.0,80.08,Stroke 3
95.11,106.03,Stroke 3
109.61,94.66,Stroke 3
166.85,97.0,Stroke 3
104.96,120.83,Stroke 4
104.96,143.84,Stroke 4
113.7,136.06,Stroke 4
122.39,139.84,Stroke 4
107.07,102.81,Stroke 5
104.96,120.83,Stroke 5
114.15,113.44,Stroke 5
128.97,113.76,Stroke 5
116.14,121.97,Stroke 6
126.08,124.91,Stroke 6
122.33,129.27,Stroke 6
122.39,139.84,Stroke 6
138.09,123.88,Stroke 7
126.08,124.91,Stroke 7
128.89,129.16,Stroke 7
128.76,139.92,Stroke 7
140.82,100.95,Stroke 8
158.0,102.21,Stroke 8
148.01,109.45,Stroke 8
147.76,139.85,Stroke 8
160.89,88.85,Stroke 9
187.03,90.82,Stroke 9
172.24,100.85,Stroke 9
83.04,141.86,Stroke 9
