x,y,label
101.12,102.89,Stroke 1
80.9,124.02,Stroke 1
96.09,123.43,Stroke 1
104.96,130.75,Stroke 1
103.82,85.92,Stroke 2
100.99,111.76,Stroke 2
114.1,100.84,Stroke 2
155.97,101.97,Stroke 2
128.81,105.92,Stroke 3
108.85,106.09,Stroke 3
115.08,113.15,Stroke 3
114.36,146.15,Stroke 3
128.81,105.92,Stroke 4
119.88,122.11,Stroke 4
129.61,121.7,Stroke 4
135.21,125.93,Stroke 4
135.09,127.84,Stroke 5
123.93,137.91,Stroke 5
133.42,137.7,Stroke 5
139.86,143.04,Stroke 5
139.07,124.09,Stroke 6
133.95,130.05,Stroke 6
139.39,131.62,Stroke 6
146.05,137.03,Stroke 6
150.1,112.05,Stroke 7
139.07,124.09,Stroke 7
145.63,124.81,Stroke 7
151.92,131.67,Stroke 7
148.93,90.05,Stroke 8
174.1,91.99,Stroke 8
159.72,102.94,Stroke 8
159.09,146.09,Stroke 8
