x,y,label
42.94,125.9,Stroke 1
40.07,151.01,Stroke 1
54.15,141.12,Stroke 1
116.02,141.86,Stroke 1
44.11,95.89,Stroke 2
42.16,120.58,Stroke 2
54.51,110.01,Stroke 2
72.95,111.12,Stroke 2
73.82,81.99,Stroke 3
75.83,99.91,Stroke 3
82.32,94.97,Stroke 3
117.22,95.1,Stroke 3
75.83,99.91,Stroke 4
75.22,111.09,Stroke 4
82.74,105.91,Stroke 4
117.03,105.89,Stroke 4
75.22,111.09,Stroke 5
70.98,126.85,Stroke 5
82.89,118.5,Stroke 5
117.96,117.9,Stroke 5
117.96,84.83,Stroke 6
115.86,112.81,Stroke 6
126.23,100.2,Stroke 6
135.08,101.14,Stroke 6
118.03,121.09,Stroke 7
115.87,146.07,Stroke 7
127.96,135.16,Stroke 7
171.15,137.04,Stroke 7
136.05,84.11,Stroke 8
133.92,112.87,Stroke 8
144.16,100.11,Stroke 8
151.07,101.05,Stroke 8
136.85,119.01,Stroke 9
160.08,121.7,Stroke 9
146.53,130.35,Stroke 9
145.24,145.21,Stroke 9
151.19,87.86,Stroke 10
149.01,111.97,Stroke 10
160.05,102.51,Stroke 10
174.1,103.06,Stroke 10
179.86,90.93,Stroke 11
168.09,111.16,Stroke 11
182.52,107.12,Stroke 11
194.02,113.84,Stroke 11
199.82,102.11,Stroke 12
188.01,122.75,Stroke 12
202.77,118.62,Stroke 12
214.79,124.79,Stroke 12
