x,y,label
70.87,98.91,Stroke 1
51.06,119.04,Stroke 1
64.91,117.82,Stroke 1
72.9,124.88,Stroke 1
73.2,88.06,Stroke 2
71.85,112.94,Stroke 2
83.45,103.09,Stroke 2
109.79,103.98,Stroke 2
73.15,118.16,Stroke 3
71.09,143.98,Stroke 3
83.74,133.02,Stroke 3
127.06,134.17,Stroke 3
126.59,99.38,Stroke 4
111.13,104.79,Stroke 4
119.39,107.82,Stroke 4
122.01,118.85,Stroke 4
133.15,122.96,Stroke 5
128.82,141.82,Stroke 5
140.21,131.13,Stroke 5
204.09,142.06,Stroke 5
134.07,110.01,Stroke 6
133.15,122.96,Stroke 6
140.9,117.02,Stroke 6
173.89,117.2,Stroke 6
131.85,90.07,Stroke 7
134.07,110.01,Stroke 7
142.08,105.14,Stroke 7
182.13,104.95,Stroke 7
173.04,123.04,Stroke 8
163.17,133.95,Stroke 8
174.27,131.47,Stroke 8
181.93,136.98,Stroke 8
179.12,114.09,Stroke 9
173.04,123.04,Stroke 9
181.54,123.03,Stroke 9
189.85,129.64,Stroke 9
188.71,105.33,Stroke 10
179.12,114.09,Stroke 10
186.91,115.77,Stroke 10
194.07,120.75,Stroke 10
197.68,118.96,Stroke 11
183.96,139.84,Stroke 11
195.38,137.15,Stroke 11
204.09,142.06,Stroke 11
