x,y,label
59.21,90.8,Stroke 1
83.99,92.99,Stroke 1
70.71,102.7,Stroke 1
78.2,155.99,Stroke 1
77.75,122.62,Stroke 2
55.13,145.04,Stroke 2
72.11,143.23,Stroke 2
78.2,155.99,Stroke 2
79.26,106.08,Stroke 3
77.06,132.83,Stroke 3
90.43,121.97,Stroke 3
133.9,122.9,Stroke 3
96.86,82.26,Stroke 4
79.91,98.94,Stroke 4
92.17,97.87,Stroke 4
99.97,104.85,Stroke 4
102.82,130.18,Stroke 5
99.85,155.91,Stroke 5
114.11,144.04,Stroke 5
178.89,97.15,Stroke 5
103.09,87.17,Stroke 6
128.05,90.06,Stroke 6
114.21,100.06,Stroke 6
114.01,142.08,Stroke 6
128.89,80.89,Stroke 7
126.01,106.07,Stroke 7
139.35,95.82,Stroke 7
178.89,97.15,Stroke 7
134.77,103.8,Stroke 8
136.06,118.98,Stroke 8
142.49,113.89,Stroke 8
174.8,114.83,Stroke 8
136.06,118.98,Stroke 9
136.1,129.83,Stroke 9
142.87,123.94,Stroke 9
173.96,124.07,Stroke 9
136.1,129.83,Stroke 10
132.05,142.92,Stroke 10
142.9,135.13,Stroke 10
173.74,134.99,Stroke 10
146.76,101.73,Stroke 11
164.95,103.04,Stroke 11
154.22,110.56,Stroke 11
154.0,142.82,Stroke 11
173.06,88.86,Stroke 12
199.13,90.83,Stroke 12
184.46,101.03,Stroke 12
114.01,142.08,Stroke 12
