x,y,label
100.98,87.76,Stroke 1
89.66,99.69,Stroke 1
97.49,98.76,Stroke 1
102.04,102.11,Stroke 1
99.88,103.34,Stroke 2
91.96,112.08,Stroke 2
99.3,111.65,Stroke 2
105.1,115.65,Stroke 2
105.78,116.79,Stroke 3
92.21,127.89,Stroke 3
100.45,126.97,Stroke 3
104.86,130.89,Stroke 3
107.06,129.99,Stroke 4
94.95,140.8,Stroke 4
102.02,140.57,Stroke 4
107.18,144.84,Stroke 4
104.84,101.87,Stroke 5
99.89,106.59,Stroke 5
104.5,106.78,Stroke 5
110.19,111.86,Stroke 5
107.06,129.99,Stroke 6
101.02,134.35,Stroke 6
106.75,135.57,Stroke 6
111.85,139.61,Stroke 6
114.83,90.99,Stroke 7
104.84,101.87,Stroke 7
110.05,101.99,Stroke 7
113.97,107.75,Stroke 7
114.25,124.91,Stroke 8
107.06,129.99,Stroke 8
112.37,131.6,Stroke 8
116.88,135.88,Stroke 8
121.99,130.05,Stroke 9
119.01,140.81,Stroke 9
126.41,133.96,Stroke 9
137.85,134.9,Stroke 9
120.89,114.91,Stroke 10
121.99,130.05,Stroke 10
127.14,127.82,Stroke 10
135.03,129.3,Stroke 10
123.03,104.97,Stroke 11
120.89,114.91,Stroke 11
127.75,107.96,Stroke 11
139.16,108.86,Stroke 11
122.17,91.32,Stroke 12
123.03,104.97,Stroke 12
128.57,101.58,Stroke 12
135.57,103.01,Stroke 12
136.87,117.97,Stroke 13
146.07,120.08,Stroke 13
141.82,124.26,Stroke 13
146.34,147.95,Stroke 13
138.93,87.17,Stroke 14
148.92,89.1,Stroke 14
143.81,93.24,Stroke 14
148.35,116.93,Stroke 14
141.11,132.2,Stroke 15
157.41,132.6,Stroke 15
147.1,138.93,Stroke 15
146.34,147.95,Stroke 15
144.81,100.68,Stroke 16
156.17,103.79,Stroke 16
149.1,107.64,Stroke 16
148.35,116.93,Stroke 16
153.91,120.0,Stroke 17
146.07,120.08,Stroke 17
149.62,123.19,Stroke 17
154.31,133.05,Stroke 17
148.92,89.1,Stroke 18
154.0,90.14,Stroke 18
151.59,92.39,Stroke 18
151.18,101.17,Stroke 18
164.03,119.72,Stroke 19
153.91,120.0,Stroke 19
156.72,123.49,Stroke 19
155.06,132.99,Stroke 19
165.93,88.87,Stroke 20
148.92,89.1,Stroke 20
158.5,93.39,Stroke 20
156.97,102.11,Stroke 20
