x,y,label
26.86,118.14,Stroke 1
24.02,144.94,Stroke 1
37.45,133.77,Stroke 1
66.65,134.97,Stroke 1
28.04,85.92,Stroke 2
25.12,112.15,Stroke 2
37.9,101.08,Stroke 2
67.83,101.94,Stroke 2
83.51,121.17,Stroke 3
67.94,135.03,Stroke 3
78.56,134.19,Stroke 3
83.04,146.1,Stroke 3
87.8,91.38,Stroke 4
69.17,102.13,Stroke 4
79.22,105.08,Stroke 4
84.76,113.81,Stroke 4
92.87,121.1,Stroke 5
90.82,146.9,Stroke 5
102.88,136.19,Stroke 5
146.88,137.87,Stroke 5
93.21,88.14,Stroke 6
91.12,114.01,Stroke 6
103.78,103.56,Stroke 6
124.88,104.19,Stroke 6
139.19,92.62,Stroke 7
140.9,116.06,Stroke 7
125.68,104.84,Stroke 7
89.88,105.32,Stroke 7
143.27,88.12,Stroke 8
169.87,90.84,Stroke 8
154.91,101.45,Stroke 8
154.14,146.11,Stroke 8
164.77,125.12,Stroke 9
162.91,145.81,Stroke 9
173.54,137.98,Stroke 9
207.89,138.3,Stroke 9
180.91,103.14,Stroke 10
166.04,119.14,Stroke 10
177.51,119.09,Stroke 10
184.04,124.14,Stroke 10
178.77,93.96,Stroke 11
198.13,95.89,Stroke 11
186.79,104.79,Stroke 11
186.82,136.6,Stroke 11
203.99,102.91,Stroke 12
189.9,118.77,Stroke 12
199.97,117.64,Stroke 12
206.8,123.8,Stroke 12
205.12,88.84,Stroke 13
231.85,90.11,Stroke 13
216.45,100.71,Stroke 13
216.03,146.04,Stroke 13
