x,y,label
39.09,121.11,Stroke 1
36.93,146.97,Stroke 1
49.27,136.36,Stroke 1
75.61,137.14,Stroke 1
41.97,88.02,Stroke 2
39.14,113.82,Stroke 2
51.15,102.44,Stroke 2
76.06,103.96,Stroke 2
92.97,125.24,Stroke 3
76.86,137.66,Stroke 3
85.55,136.17,Stroke 3
90.75,146.08,Stroke 3
94.96,91.99,Stroke 4
78.03,104.07,Stroke 4
87.13,105.48,Stroke 4
92.27,112.24,Stroke 4
97.95,124.82,Stroke 5
95.83,148.94,Stroke 5
108.21,138.98,Stroke 5
146.31,139.74,Stroke 5
99.07,91.08,Stroke 6
96.84,115.97,Stroke 6
108.96,105.65,Stroke 6
132.0,106.18,Stroke 6
149.89,96.06,Stroke 7
145.87,116.04,Stroke 7
133.42,106.71,Stroke 7
101.61,108.07,Stroke 7
147.17,87.72,Stroke 8
172.11,89.81,Stroke 8
158.64,100.64,Stroke 8
157.84,143.91,Stroke 8
161.83,97.12,Stroke 9
175.96,100.07,Stroke 9
168.89,105.51,Stroke 9
167.93,116.12,Stroke 9
166.72,118.19,Stroke 10
190.09,119.86,Stroke 10
176.34,128.46,Stroke 10
175.79,144.13,Stroke 10
175.96,100.07,Stroke 11
186.94,100.11,Stroke 11
180.33,105.63,Stroke 11
179.97,119.95,Stroke 11
198.01,100.01,Stroke 12
186.94,100.11,Stroke 12
190.44,106.3,Stroke 12
179.97,119.95,Stroke 12
192.94,90.08,Stroke 13
218.78,91.98,Stroke 13
203.95,102.8,Stroke 13
203.15,146.04,Stroke 13
