x,y,label
14.94,118.8,Stroke 1
12.07,145.0,Stroke 1
25.32,133.88,Stroke 1
54.69,134.97,Stroke 1
16.07,85.99,Stroke 2
13.2,112.81,Stroke 2
25.88,101.28,Stroke 2
55.88,101.99,Stroke 2
71.07,121.55,Stroke 3
56.08,135.02,Stroke 3
66.56,134.24,Stroke 3
71.12,146.14,Stroke 3
75.73,91.86,Stroke 4
57.86,102.1,Stroke 4
67.22,105.1,Stroke 4
72.82,113.85,Stroke 4
80.89,121.19,Stroke 5
78.89,146.91,Stroke 5
90.84,136.09,Stroke 5
135.05,137.91,Stroke 5
81.78,88.84,Stroke 6
79.16,114.08,Stroke 6
91.81,103.66,Stroke 6
112.83,104.93,Stroke 6
131.94,94.15,Stroke 7
128.91,116.05,Stroke 7
113.64,104.92,Stroke 7
74.25,104.54,Stroke 7
131.56,88.62,Stroke 8
161.9,93.93,Stroke 8
143.07,101.79,Stroke 8
142.22,146.17,Stroke 8
165.07,108.02,Stroke 9
148.85,125.9,Stroke 9
160.62,125.13,Stroke 9
168.18,131.2,Stroke 9
161.9,93.93,Stroke 10
184.95,95.87,Stroke 10
171.24,105.17,Stroke 10
171.08,145.11,Stroke 10
176.0,108.1,Stroke 11
173.79,131.89,Stroke 11
185.97,121.89,Stroke 11
224.96,122.98,Stroke 11
217.86,88.87,Stroke 12
244.0,90.77,Stroke 12
228.76,101.59,Stroke 12
228.84,146.21,Stroke 12
