x,y,label
1.96,117.13,Stroke 1
1.08,143.98,Stroke 1
12.59,132.87,Stroke 1
41.74,133.94,Stroke 1
3.11,85.01,Stroke 2
1.18,111.01,Stroke 2
13.02,100.39,Stroke 2
42.83,100.95,Stroke 2
58.73,120.74,Stroke 3
43.08,134.04,Stroke 3
53.71,133.14,Stroke 3
58.13,145.09,Stroke 3
64.92,89.11,Stroke 4
44.85,101.04,Stroke 4
54.29,103.98,Stroke 4
59.85,112.85,Stroke 4
67.9,120.81,Stroke 5
65.87,145.85,Stroke 5
77.96,135.16,Stroke 5
122.11,136.89,Stroke 5
68.79,87.07,Stroke 6
66.16,113.01,Stroke 6
78.77,102.27,Stroke 6
99.89,103.84,Stroke 6
118.91,93.16,Stroke 7
115.94,115.02,Stroke 7
100.77,103.79,Stroke 7
64.88,104.24,Stroke 7
118.83,87.13,Stroke 8
145.99,89.89,Stroke 8
129.95,100.43,Stroke 8
129.78,145.95,Stroke 8
145.99,89.89,Stroke 9
145.97,110.1,Stroke 9
156.02,101.9,Stroke 9
175.78,102.84,Stroke 9
161.13,130.02,Stroke 10
157.06,145.83,Stroke 10
167.74,136.94,Stroke 10
191.9,136.97,Stroke 10
161.95,118.97,Stroke 11
161.13,130.02,Stroke 11
167.83,124.88,Stroke 11
202.9,124.99,Stroke 11
160.91,104.14,Stroke 12
161.95,118.97,Stroke 12
168.39,114.57,Stroke 12
202.89,114.96,Stroke 12
191.98,94.83,Stroke 13
189.74,112.88,Stroke 13
176.83,102.46,Stroke 13
150.73,101.71,Stroke 13
192.12,127.09,Stroke 14
189.85,148.04,Stroke 14
201.08,139.56,Stroke 14
236.88,139.97,Stroke 14
191.98,94.83,Stroke 15
217.8,96.97,Stroke 15
205.28,105.55,Stroke 15
204.96,138.11,Stroke 15
230.02,88.89,Stroke 16
253.81,92.02,Stroke 16
240.71,101.64,Stroke 16
240.82,146.19,Stroke 16
